,WWWEDU3,WWWRACE3,WWWSEX,W2MISSCL,W1FIPCOM,W2FIPCOM,USAWT1RV,USAWT2NC,WWWAGEC1,COMPLET2,WWWHOMLN,EDUCAT4,RACES,WWWEDU5,W1STATE,W2SECURE,WWWAGE,RWAVEOLD,RWAVENEW,USAWT2CC,CENSDIV,W2CIVLIB,IMPHISP,MULT3,W12HISP,W12OTHET,AGE1829,AGE3039,AGE4049M,AGE65PLM,WWWBRNUS,WWWHISP,MULT2,W3IWER4_A
1041,1.0,-1,-1,1.0,0.9999999999999998,1.0,0.14225975619225872,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.736842105263158,-0.5,-1.0,1.0000000000000002,1.0000000000000002,-0.7246523764537708,-0.3548387096774195,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1.0
1853,1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,0.3723649720258655,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.5263157894736843,0.0,1.0,-1.0,-1.0,0.36219714888339327,0.9999999999999998,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,0.0
1721,-1.0,-1,1,1.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-0.33333333333333326,0.9999999999999998,-1.0,-0.8461538461538467,0.6000000000000003,0.6000000000000003,1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,2.0
1099,-1.0,-1,1,-1.0,0.6666666666666665,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.33333333333333326,-1.0,-1.0,0.07692307692307665,1.0000000000000002,1.0000000000000002,-0.37388765602837615,0.29032258064516125,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,3.0
2920,-1.0,1,1,-1.0,-1.0,-1.0,-1.0,-0.9636580357461061,-1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-0.5263157894736843,-0.5,-0.6923076923076916,0.6000000000000003,0.6000000000000003,-1.0,0.35483870967741926,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,4.0
3246,1.0,1,1,-1.0,-1.0,0.0,-1.0,-0.42562369826538804,-1.0,-1.0,1.0,1.0,-1.0,0.3333333333333335,-0.6842105263157895,1.0,-0.07692307692307665,0.19999999999999996,0.6000000000000003,-0.45486434351117366,-0.3548387096774195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9.0
