,CL7R,CL2R,CT2BIN,CL5R,CL1R,DEMOC,MOD,CON,WWWWHITE,FEMALE,COLGRD,SOMCOL,W12WHITE,CL9R,REPUB,INDEP,AGE65PLM,COMHS,CL8R,BABS,CD4A_A,AGE4049M,CD4A_B,PTYID3,W2TOTCL,W12EDUC3,WWWBLACK,AGE5059M,LIB,VPROUD,STRATA,IDEO3,AGE3039,DOG4R,W1TRUAM2,CT1A,WWWHOMLN,COMPLET2,ADVDEG,CD7_A,CENSDIV,INCA,W2CIVLIB,PROUD,EDUCAT4,GT2,CL7,CL2,CL10R,CL5,AGE6064M,CL4A,INCOME,FIP2,WWWAGEC1,AGE1829,CL6B,P17_A,WWWEDU3,W1STATE,WWWEDU5,CL9,MEANFR,FIP1,W12HISP,WWWHISP,CL1,SEC4,B1,CL8,CD8,RAC3,W12RACE4,LOPROU,CD6,WWWAGE,V1_B,MNDOG,W2SECURE,WWWRACE4,CLPROP,WWWRACE3,POLINT,NEWRACE,B2,LTHS,IWER3,FIPCOM,DOG2R,DOG5R,DOG6R,DOG3R,DOG1R,WWWBRNUS,RI2_A,CL10,DG2,DG3,DG1,CD5A,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1642,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0000000000000002,1.0,-1,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,1.0,-1.0,0.0,0.9999999999999998,1.0,0.8181818181818183,-1.0,1.0,0.0,-0.9999999999999999,0.1428571428571428,1.0,0.33333333333333326,-1.0,-1.0,1.0,-1.0,0.9999999999999998,-1.0,0.5,-0.1428571428571428,1.0,-0.8181818181818182,0.5,0.1428571428571428,-0.33333333333333326,-0.9999999999999999,-1.0,-1,0.1428571428571428,-1.0,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.11111111111111116,0.666666666666667,-0.75,-0.58333333333335,-0.6363636363636362,-0.9999999999999999,1.0,-1,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,-0.5,-1.0,-1.0,-0.25,-0.5,1.0,-0.9999999999999999,0.33333333333333326,-0.4285714285714285,-0.75,-0.4285714285714285,1.0,1,0,0,1,1,1,0
3189,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,0.0,-1,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-1.0,-1.0,0.75,-0.3548387096774195,-1.0,0.4545454545454546,-1.0,0.3333333333333335,-1.0,-0.9999999999999999,-0.9999999999999999,1.0,0.33333333333333326,-1.0,-1.0,0.75,-1.0,0.33333333333333326,-1.0,0.0,-0.1428571428571428,0.0,0.38181818181818183,0.0,0.1428571428571428,-0.8666666666666666,-0.9999999999999999,-1.0,-1,0.1428571428571428,-0.75,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.7777777777777778,0.09090909090909105,-0.25,-0.75,-0.2727272727272727,-0.9999999999999999,0.5,-1,0.3333333333333335,-1.0,-0.9999999999999999,-1.0,1.0,1.0,-1.0,-1.0,-0.75,-0.75,-0.5,1.0,-0.9999999999999999,0.33333333333333326,-0.1428571428571428,-0.5,-0.4285714285714285,1.0,1,0,1,1,1,1,1
928,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.20000000000000018,1.0,-1.0,-1.0,-1.0,0.0,0.35483870967741926,-1.0,-1.0,-1.0,0.3333333333333335,0.0,0.1428571428571428,0.1428571428571428,1.0,-1.0,-1.0,0.0,0.75,-1.0,0.0,-1.0,0.0,-0.9999999999999999,0.0,-1.0,0.0,-0.9999999999999999,-0.7333333333333333,0.1428571428571428,-1.0,-1,0.1428571428571428,-0.5,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.11111111111111116,-0.15151515151515138,-0.75,0.1666666666666501,-1.0,-0.9999999999999999,0.13888888888899986,-1,0.3333333333333335,-1.0,-0.9999999999999999,-1.0,-1.0,0.0,-0.5,-0.5,0.0,0.0,1.0,1.0,-0.9999999999999999,0.33333333333333326,-0.4285714285714285,-1.0,-0.9999999999999999,1.0,0,0,0,0,0,0,0
610,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,1.0,-1.0,1.0,1.0,0.0,-1.0,-0.75,1.0,-0.33333333333333326,-1.0,-1.0,-1.0,0.75,-0.3548387096774195,-1.0,-1.0,-1.0,-0.9999999999999999,0.0,0.1428571428571428,-0.9999999999999999,1.0,0.33333333333333326,-1.0,1.0,0.0,-1.0,0.33333333333333326,-1.0,-1.0,-0.1428571428571428,-1.0,-0.4181818181818182,-1.0,0.1428571428571428,0.11111111111113336,0.1428571428571428,-1.0,-1,0.1428571428571428,-0.75,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.7777777777777778,0.18181818181818188,-1.0,0.08333333333334991,-1.0,-0.9999999999999999,0.13888888888899986,-1,-0.33333333333333326,-1.0,-0.9999999999999999,1.0,1.0,0.0,0.5,0.5,-0.75,-0.75,1.0,1.0,-0.9999999999999999,0.33333333333333326,-0.7142857142857142,-0.5,-0.9999999999999999,1.0,0,0,0,0,0,0,0
1575,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0000000000000002,1.0,-1,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-0.3548387096774195,0.0,0.2727272727272727,-1.0,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,1.0,-1.0,-1.0,0.5,-0.75,-1.0,-0.33333333333333326,-1.0,0.5,0.7142857142857144,1.0,-0.09090909090909094,0.5,0.1428571428571428,0.06666666666666687,0.1428571428571428,-1.0,-1,-0.9999999999999999,-1.0,0.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,-0.606060606060606,-0.75,0.0,-0.09090909090909083,-0.9999999999999999,0.25,-1,0.3333333333333335,-1.0,0.1428571428571428,-1.0,1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0,-0.9999999999999999,0.33333333333333326,-0.9999999999999999,-1.0,-0.9999999999999999,1.0,0,0,1,1,1,1,1
185,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0000000000000002,0.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.75,1.0,-0.33333333333333326,1.0,-1.0,-1.0,0.0,0.41935483870967727,-1.0,0.4545454545454546,-1.0,0.3333333333333335,0.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,0.0,-0.25,-1.0,0.9999999999999998,-1.0,0.0,-0.9999999999999999,0.0,0.709090909090909,0.0,-0.9999999999999999,-0.06666666666666665,-0.9999999999999999,-1.0,-1,-0.9999999999999999,-0.75,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.11111111111111116,0.666666666666667,-0.75,-0.1666666666666501,-0.2727272727272727,-0.9999999999999999,-0.97222222222225,-1,0.3333333333333335,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,-0.5,-0.5,-0.25,-0.75,0.5,1.0,-0.9999999999999999,-1.0,-0.4285714285714285,-0.5,-0.7142857142857142,1.0,0,0,1,1,1,1,1
2782,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,0.0,1,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.75,0.35483870967741926,-1.0,0.4545454545454546,-1.0,0.3333333333333335,-1.0,-0.9999999999999999,-0.9999999999999999,1.0,0.33333333333333326,-1.0,0.0,1.0,0.0,0.33333333333333326,-1.0,0.5,-0.9999999999999999,0.0,-1.0,0.0,0.1428571428571428,0.7333333333333334,0.1428571428571428,-1.0,-1,0.1428571428571428,-1.0,-1.0,0.1428571428571428,-0.9999999999999999,0.0,-0.33333333333333326,-1.0,0.5555555555555554,0.030303030303030498,-0.75,0.1666666666666501,-0.2727272727272727,-0.33333333333333326,0.5,0,1.0,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.25,0.5,1.0,-0.9999999999999999,0.33333333333333326,-0.9999999999999999,-0.75,-0.7142857142857142,1.0,0,0,0,0,0,0,0
449,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1.0,-1.0,1.0,0.0,0.0,-1.0,-0.25,0.20000000000000018,0.3333333333333335,-1.0,1.0,-1.0,-0.75,-0.935483870967742,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.1428571428571428,-0.9999999999999999,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.33333333333333326,-1.0,-1.0,1.0,-1.0,0.19999999999999996,-1.0,-0.9999999999999999,0.7333333333333334,0.1428571428571428,-1.0,-1,0.1428571428571428,-0.25,-1.0,-0.9999999999999999,0.20000000000000018,0.0,-0.33333333333333326,-1.0,-0.11111111111111116,0.030303030303030498,-0.75,0.25,-1.0,-0.33333333333333326,-0.41666666666675,0,0.3333333333333335,0.0,-0.9999999999999999,1.0,-1.0,-1.0,1.0,-0.5,-0.25,0.0,-1.0,1.0,-0.9999999999999999,0.33333333333333326,-0.9999999999999999,-1.0,-0.1428571428571428,1.0,0,0,0,0,0,0,0
1198,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.75,0.20000000000000018,-0.33333333333333326,-1.0,-1.0,-1.0,-0.75,-0.935483870967742,-1.0,-1.0,-1.0,-0.33333333333333326,0.0,0.1428571428571428,0.1428571428571428,1.0,0.33333333333333326,-1.0,0.0,0.5,-1.0,0.0,-1.0,0.5,-0.9999999999999999,0.0,0.2727272727272727,-0.5,0.1428571428571428,-0.06666666666666665,0.1428571428571428,-1.0,-1,0.1428571428571428,-1.0,-1.0,0.1428571428571428,1.0000000000000004,-1.0,-0.9999999999999999,-1.0,-0.7777777777777778,-0.36363636363636354,-1.0,0.4166666666666501,-1.0,-0.9999999999999999,0.6944444444444999,-1,0.3333333333333335,-1.0,-0.9999999999999999,-1.0,-1.0,0.0,0.5,0.5,0.0,-0.25,0.5,1.0,-0.9999999999999999,0.33333333333333326,-0.7142857142857142,-0.75,-0.7142857142857142,1.0,0,0,0,0,0,0,0
1356,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,1,-1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,0.20000000000000018,-0.33333333333333326,-1.0,-1.0,-1.0,0.75,0.41935483870967727,-1.0,0.4545454545454546,-1.0,1.0,-1.0,-0.9999999999999999,0.1428571428571428,1.0,0.9999999999999998,-1.0,-1.0,0.75,0.5,-0.33333333333333326,-1.0,0.5,-0.1428571428571428,1.0,0.4181818181818182,0.5,0.1428571428571428,-0.06666666666666665,0.1428571428571428,-1.0,-1,-0.9999999999999999,-1.0,-1.0,0.1428571428571428,-0.9999999999999999,0.0,-0.33333333333333326,-1.0,-0.11111111111111116,-0.5454545454545454,-0.75,-0.25,-0.2727272727272727,-0.33333333333333326,0.6944444444444999,0,0.3333333333333335,0.0,-0.9999999999999999,-1.0,1.0,-0.5,-1.0,-1.0,-0.25,-0.25,0.5,1.0,-0.9999999999999999,0.33333333333333326,-0.1428571428571428,-0.75,-0.7142857142857142,1.0,0,0,0,0,0,0,0
