,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,W3IWER4_A
5171,-1.1519975791476538,-0.03902429317468251,-0.4362944012581278,-0.587627803999453,-0.6571521188349525,0.5593146786579958,-0.15118839376438395,-0.40235673558589885,0.19457407833467313,0.08601233001204805,1
4639,-1.2981352187530746,-0.32931391864363435,0.2508361072881416,-0.11037106527497438,-0.23091206816333207,-0.2074505754262313,-0.3326725113326982,0.4534190877774898,0.09789058408253931,-0.22353819408134115,1
1734,-1.3042578296556717,-0.3421008145101334,0.2364159692575849,-0.37887662143781764,0.5589534076054749,0.5906526147960169,-0.2235897227438819,-0.42487260756152573,0.3118896675497982,0.17348924097055848,1
4593,-1.4758559792111117,-0.4324843343564598,0.21333281760013395,-0.06159325896898429,-0.07997721890949477,-0.5166938734037124,-0.15969447291719618,-0.43683686935214233,-0.26018344029982876,-0.12550972855715817,1
4459,-1.1884048648357617,-0.5140871688777054,0.7431718392227631,-0.33812432537351006,-1.0732645413829083,-0.0946218511313797,-0.6599693133435621,-0.25628687861116123,0.28884973079748116,-0.21089405580759465,1
5781,4.087546991672364,-3.251160260140324,0.6586299940459508,0.3076868898561056,0.015978321681176563,-0.2152268520390933,0.21342994013214056,0.029279685707288814,-0.26706998956544153,0.5555490366151165,1
676,-1.6993775106528197,-0.48909168110842255,1.1792810351154164,-0.30434413503725777,0.06942388005107225,-0.294167348879913,-0.374321155202846,-0.2414719597900162,-0.23373481714258015,-0.15892529304219413,1
4209,-1.5528291603794153,-0.08998101274404162,0.1843805314993343,0.056782823134552095,0.31858274332079817,0.5468951857460278,0.41995595875552877,0.23368087316098463,0.3830649242513397,0.2812980276476018,1
1769,-1.1965433060603767,-0.053974082806586984,-0.8761376190889358,-0.7905721510981566,0.034713104426810686,0.22788361729392123,0.1535383877577182,-0.28352150130381365,-0.06590814491460545,0.10165875547828106,1
6157,2.1357689910308366,-0.9933260369077618,-0.9667307449973224,-0.3638818544440133,-0.08800935691643588,0.40240541345219355,-0.35281409401502556,0.009377702708420838,-0.002771218044902475,-0.3564202407285004,1
5755,4.410995039617016,-3.275080779089222,0.6912213439406448,0.29044634311277895,0.0034948867042684365,-0.03575703276913756,0.30107814449028625,0.12761670168083683,-0.49586695869299285,0.324894769742612,1
5780,2.870103257683774,-2.079775971770814,-0.2563246777542411,-0.05517112338583771,-0.008566665952234664,0.03479475493063969,-0.11439958941419442,-0.03569817626525421,0.18070765114908913,0.01701238699743532,1
1819,-1.0676786201257633,-0.3900424323641798,-0.8986785921205463,-0.5076693333797495,0.6102332781412731,-0.5776883204715695,-0.06450846658993954,-0.23661015864567211,0.2391665727155097,0.161798796775322,1
4803,-1.2984372759085436,-0.1818228936364192,0.07980482189847471,-0.5129581093285714,0.031211715525002688,0.19807595015125506,-0.4888137313635296,-0.09148426216502673,-0.19948547104817288,0.26240425640634213,1
4443,-1.9144591603892638,-0.5630795635615299,1.1856488419231723,-0.4463434603206291,0.3440053825842452,0.4780607434035831,0.49713091050262675,-0.5666357765401736,-0.28058155626991754,-0.16275863023702408,1
5606,3.0188463416099234,-2.2545424277602493,-0.10130292151816389,0.060216780521334265,0.012508199612709981,0.03398343341454335,-0.05270907644295069,-0.06752673392555304,0.0884145687547439,0.15030596242010133,1
5921,4.472958698546539,-3.4200356677444876,0.7688302958254921,0.33190624235650457,0.03262474623838714,-0.08845122824479294,0.31562223403200473,0.05472288850622758,-0.31163313966122846,0.25577332165309324,1
1016,-1.1137821360064333,-0.3148041364597326,-0.11490492372375861,-0.9821568356916571,-0.5066345778283747,-0.34238224609415624,-0.5979881766607786,0.2887058858459819,-0.08324607499416926,0.1133547073977807,1
5882,3.1519932604663627,-2.070530118090969,-0.1865887469868425,0.02507342115584564,-0.049849076202639335,0.18273341653853525,-0.0018927087740028621,0.14778314223518055,-0.352345664957003,0.2377076521113932,1
5938,4.285657312110992,-3.1714776232727573,0.6243355890317953,0.2815338958025721,0.005596893334590553,-0.01568557612274726,0.2765449427512066,0.11584138743774862,-0.4896072195770296,0.3371165185177972,1
5023,-1.590193215522656,-0.3847749271830657,0.04350983427450521,-0.051761321344129314,-0.16262924129511666,-0.7669204937044792,0.7048976055606508,0.5296687589860333,-0.21284743655280183,-0.0916720605597959,1
