,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,W3IWER4_A
19,-1.4496728936711363,2.5274730509777243,-1.3506398363138223,2.679947582898474,-0.7488150036922152,-2.1324593640159826,-1.9378099968734146,0.4285840057109793,-1.5827071958277346,-0.9325401256049245,0
36,-0.34725048989056734,4.4956706227392385,2.2778027445239375,0.5269683885191738,-1.9649748005665852,-2.0488321559028053,0.10393811134434977,-1.4951110298995773,-0.8864738670216415,0.4684124586531404,0
79,-1.2067284859481462,1.3043522745195104,2.7463724003839713,0.13765960915067588,-1.898811958301873,2.5715282792887453,-0.1001689642442406,0.592395989304206,0.686349423561388,1.7852670234470738,0
30,-4.832526194277166,0.7599424643144398,0.6463109051017003,-1.3047519775553702,0.11452305865319949,-0.45088092866793766,0.3813554207860805,1.6360257251587331,-1.934385388417275,-0.5393635623018893,0
16,-1.1899472032961762,-0.6366883592256388,-2.118354319007041,-2.515410005811165,1.0636170474640914,0.052193469130918525,0.6346315614899307,0.08164929575739922,0.8190546110676719,1.2371672136604233,0
26,1.88436958869798,-0.5005141558602305,0.06612456221872698,1.26811753542165,0.42895552446207597,0.26195628372307395,1.6643581609944242,1.4620501969949249,0.44784967920282526,0.6475491207215103,0
15,1.562485506828194,-3.566688740510882,-1.0931756341621313,-0.622176089867884,1.6737518742369268,-1.3577377481593726,-0.402221025614049,1.7377766609706498,-1.492720814699421,-0.8828307408717113,0
23,-4.325900618372221,-0.8833362064251027,0.1724325043973793,0.005036891556227503,0.4346739677215288,-0.9467845918182333,-0.4244409098885349,-0.10790506278766761,1.243552018850155,0.29736537618944303,0
51,-0.5564912820212343,-3.7916813962810765,1.8397055714253885,1.0148012329538336,-0.2990599363698181,0.49117397060113716,1.4491453086481785,-1.2420020901170623,0.6237942047603515,1.0399779521993624,0
89,0.7361165380740955,-1.6668482201513262,2.7002400579494292,-2.5382308136169303,1.5163211763569253,-0.13318101014994393,0.9955818465949088,0.5507906436266351,1.3050967505317026,-0.6242702591966628,0
18,3.1183981969062,-2.3643250193999292,-0.40671818953304595,-0.5489783924892462,-1.1217904092436146,-0.7983630617425002,-0.4430884859345484,1.4654994709547478,-1.4651677909508283,-1.2893435454973021,0
46,-3.3349138327562464,-0.2595343408027529,0.43967492897638405,0.0806745149966706,-1.350795055625533,1.5462160679157282,2.481228069020503,-0.7685174863726308,-1.885741280387462,0.7571100676547151,0
