,COUNTY,USAWT2RC,W1STATE,WWWHISP,CENSDIV,F2,STRATA,WWWRACE3,WWWBLACK,WWWAGE,WWWEDU5,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1642,-0.8186713235829151,-1.0,-0.8181818181818182,-1,0.9999999999999998,0.3333333333333335,1.0,-1,-1,0.666666666666667,0.5,1,0,0,0,0,0,0
3189,0.38470494069708194,-1.0,0.38181818181818183,-1,-0.3548387096774195,1.0,1.0,-1,-1,0.09090909090909105,0.0,1,0,0,1,1,1,1
928,-1.0,-1.0,-1.0,-1,0.35483870967741926,1.0,1.0,-1,-1,-0.15151515151515138,0.0,0,0,0,0,0,0,0
610,-0.41883140507894945,-1.0,-0.4181818181818182,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,0.18181818181818188,-1.0,0,0,0,0,0,0,0
1575,-0.0870261223895803,-1.0,-0.09090909090909094,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,-0.606060606060606,0.5,0,0,0,0,0,0,0
185,0.7158553445390379,-0.9893702882403226,0.709090909090909,-1,0.41935483870967727,-0.33333333333333326,-1.0,-1,-1,0.666666666666667,0.0,0,0,1,0,1,1,1
2782,-0.9992723568362076,-1.0,-1.0,-1,0.35483870967741926,-0.9999999999999999,0.0,0,1,0.030303030303030498,0.0,0,0,0,0,0,0,0
449,0.19915593393000064,-1.0,0.19999999999999996,-1,-0.935483870967742,-0.9999999999999999,0.0,0,1,0.030303030303030498,-1.0,0,0,1,0,0,0,0
1198,0.27519464454631426,-1.0,0.2727272727272727,-1,-0.935483870967742,-0.33333333333333326,1.0,-1,-1,-0.36363636363636354,-0.5,0,0,0,0,0,0,0
1356,0.4221785636323945,-0.16226466007572848,0.4181818181818182,-1,0.41935483870967727,0.3333333333333335,1.0,0,1,-0.5454545454545454,0.5,0,0,0,0,0,0,0
399,0.2743942370661425,-1.0,0.2727272727272727,-1,-0.935483870967742,0.3333333333333335,0.0,-1,-1,0.7878787878787881,-1.0,0,0,1,0,0,1,1
3168,0.7138179436804188,-1.0,0.709090909090909,-1,0.41935483870967727,1.0,1.0,-1,-1,2.220446049250313e-16,0.0,1,0,1,0,1,0,1
1781,0.48984937786509475,-1.0,0.49090909090909074,-1,-0.935483870967742,1.0,1.0,-1,-1,0.9393939393939394,-0.5,0,0,0,1,1,1,1
2995,-0.14658371534599446,-1.0,-0.1636363636363637,-1,0.29032258064516125,1.0,0.0,0,1,0.8484848484848486,-0.5,1,0,1,0,0,1,1
411,-0.8186713235829151,-1.0,-0.8181818181818182,-1,0.9999999999999998,0.3333333333333335,0.0,0,1,0.8181818181818183,0.0,0,0,1,0,0,0,0
2878,-0.16393800480244503,-1.0,-0.1636363636363637,-1,0.29032258064516125,1.0,0.0,-1,-1,0.7272727272727275,-0.5,0,0,1,1,0,1,1
3264,0.2735938295859708,-1.0,0.2727272727272727,-1,-0.935483870967742,-0.9999999999999999,1.0,-1,-1,-0.09090909090909083,-0.5,0,0,0,0,0,0,0
2071,0.49072254966164564,-0.2583540373880685,0.49090909090909074,-1,-0.935483870967742,1.0,1.0,-1,-1,-0.5151515151515151,0.5,1,0,0,1,1,1,1
680,0.9665284144655457,-1.0,0.9636363636363636,-1,-0.3548387096774195,1.0,1.0,-1,-1,-0.15151515151515138,0.0,0,0,0,1,1,1,1
865,0.01942807247325895,-0.6863574838807249,0.018181818181818077,-1,-0.29032258064516125,1.0,1.0,-1,-1,0.030303030303030498,0.5,0,0,0,1,1,1,1
444,-0.16393800480244503,-1.0,-0.1636363636363637,-1,0.29032258064516125,-0.9999999999999999,0.0,-1,-1,-0.6969696969696968,0.0,0,0,0,0,0,0,0
211,0.7258240558829947,-1.0,0.709090909090909,-1,0.41935483870967727,1.0,-1.0,-1,-1,-0.33333333333333326,0.5,0,0,1,1,1,1,1
