,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,W3IWER4_A
1371,-2.17088953049396,-0.3607539368235175,1.260003126814791,-1.0996716797986803,-0.07988747995129096,0.2773504732520551,0.917214214094691,-1.1228872420579372,0.20663081994425014,-0.42920386855985243,0
162,-1.418990280012804,-0.3084319994853746,1.3819869943956766,-0.05406997809457619,1.0111117529592701,0.7197034511351906,-0.3635400076565615,0.09442720175005766,-0.24091813067321302,-0.491305788142109,0
1796,1.827199374053321,2.3912579328146557,0.2622733191597876,0.37539909383221487,0.2347843725828999,-0.5974483391449749,-0.37440131074409466,-0.35637684643248896,0.10408338533035545,-0.0621007462710078,0
1612,-2.195727031948281,-0.517757062716994,1.4629077393247703,-1.413339932394788,-0.5317329029829535,0.023048386091710525,0.42202403282563633,-0.056392624926141936,-0.06320360696168216,0.25618385709758373,0
2253,1.8932562465109266,2.4260232095907694,0.27434205063339084,0.5184273315024441,0.4446444135455764,-0.7121078040511672,-0.4105763484921788,-0.6093924953072353,-0.10000266241655142,-0.43408797888946576,0
209,-1.4014363640733276,-0.26931920487025507,1.628412156742618,-0.5793290609275771,-0.7461861812693658,-0.6095022478250995,-0.3610440634651696,0.11245129229737148,0.535716952861807,0.032004535384015806,0
301,-1.7284698176188842,-0.5258138178039193,-0.5029004818020891,0.4818409859662489,-0.3543065787209389,0.6395842903346616,-0.6765961573250282,-0.18978720578207237,0.8410355261446714,0.30212745714277095,0
1795,2.688743024264157,4.9622274921777345,-0.8411437212907261,-0.9876714202229938,-0.36993513860715505,0.9590445413155633,0.6479259362342182,0.8557444973358492,-0.1646985144449529,0.034569112131248726,0
1709,-0.4376442806001894,0.14697279907211322,-0.8945185897790633,1.5897070356033087,0.7016603382017836,-0.13044478361886583,0.4565485654829309,-0.11870716943915091,0.07369150864606333,0.2455454526248372,0
1581,-1.063604436168486,-0.36519180879328794,1.5350931457049308,0.19244806493475466,1.0161953791098592,0.5593574416653706,0.0999269450538442,-0.2710265242445971,0.13397951593098026,-0.042866647596281456,0
