,COUNTY,F2,WWWEDU5,WWWAGE,W1STATE,CENSDIV,CENSREGN,STRATA,WWWWHITE,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
281,0.7153459943243832,-0.9999999999999999,-0.5,-0.303030303030303,0.709090909090909,0.41935483870967727,0.3333333333333335,0.0,-1,0,0,0,0,1,0,0
2072,-0.5977588590555193,0.3333333333333335,0.5,0.12121212121212133,-0.6000000000000001,0.29032258064516125,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
586,0.3868878701884595,0.3333333333333335,-0.5,0.12121212121212133,0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
647,-0.23670232118169265,1.0,-0.5,-0.5151515151515151,-0.23636363636363644,0.41935483870967727,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
1876,-0.27184748599286923,0.3333333333333335,0.5,-0.2727272727272725,-0.2727272727272728,0.35483870967741926,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
1134,-0.6005239030779307,0.3333333333333335,-0.5,-0.6666666666666665,-0.6000000000000001,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
2027,0.8426471658298769,0.3333333333333335,-0.5,-0.33333333333333326,0.8181818181818181,0.29032258064516125,0.3333333333333335,0.0,-1,1,0,0,0,1,0,0
1622,0.9651458924543403,1.0,-0.5,-0.09090909090909083,0.9636363636363636,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1132,-0.37888379538674244,1.0,1.0,0.21212121212121238,-0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
2800,0.8408280579203957,0.3333333333333335,1.0,0.030303030303030498,0.8181818181818181,0.29032258064516125,0.3333333333333335,0.0,1,1,0,1,1,1,1,1
1447,-0.3099032234592157,-0.33333333333333326,-0.5,-0.9696969696969696,-0.3090909090909091,-0.29032258064516125,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1604,-0.7444517208760825,1.0,0.0,-0.2727272727272725,-0.7454545454545455,0.9354838709677418,1.0,1.0,1,1,0,1,0,1,1,1
642,0.49072254966164564,0.3333333333333335,0.0,-0.5151515151515151,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,0,0,1,1,1,1,0
2712,-0.6380702903296225,-0.33333333333333326,0.0,0.4242424242424243,-0.6363636363636365,0.29032258064516125,0.3333333333333335,0.0,-1,0,0,0,1,1,0,1
220,-0.6008149603434476,1.0,1.0,-0.6969696969696968,-0.6000000000000001,0.29032258064516125,0.3333333333333335,-1.0,1,0,0,1,0,0,0,0
164,0.7158553445390379,0.3333333333333335,0.5,0.09090909090909105,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,-1,0,0,0,0,0,0,0
1256,0.4202139270901548,0.3333333333333335,0.5,-0.09090909090909083,0.4181818181818182,0.41935483870967727,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
2059,0.02022847995343069,0.3333333333333335,-0.5,-0.3939393939393938,0.018181818181818077,-0.29032258064516125,-0.33333333333333326,0.0,-1,0,0,0,1,1,0,1
1111,-0.20104780615586126,0.3333333333333335,0.5,-0.45454545454545436,-0.20000000000000007,-1.0,-0.9999999999999999,1.0,-1,0,0,0,1,1,0,1
1073,0.0914647456887141,1.0,-0.5,0.4545454545454546,0.09090909090909083,-0.29032258064516125,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1870,0.490795313978025,-0.33333333333333326,1.0,-0.5757575757575757,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,0,0,1,1,1,1,0
593,-0.560066943171069,0.3333333333333335,0.5,-0.303030303030303,-0.5636363636363637,0.29032258064516125,0.3333333333333335,1.0,-1,1,0,0,0,1,0,1
1345,-0.9622717019573602,0.3333333333333335,0.0,-0.8181818181818181,-0.9636363636363636,0.9999999999999998,1.0,1.0,-1,0,0,0,0,0,0,0
808,-0.08782652986975203,1.0,0.0,-0.030303030303030276,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
2044,-0.08644400785854633,-0.33333333333333326,0.0,-0.4242424242424241,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,0.0,-1,0,0,0,1,1,0,1
1411,0.38419559048242724,-0.33333333333333326,0.0,-0.21212121212121193,0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
1510,0.05420941570253923,1.0,0.5,-0.7878787878787877,0.05454545454545445,0.9354838709677418,1.0,1.0,1,0,0,1,0,1,1,1
