,COUNTY,WWWRACE4,WWWAGEC1,W1STATE,HISWT1RV,STRATA,CENSDIV,CL2,WWWEDU3,RHWT2CC,W3IWER4_A
1469,-0.9903163108725971,0.334501142060437,-0.5955038926166771,0.2526669519355367,0.320755607854206,-0.7746671741350117,0.8488707594986181,0.025330553478064344,-0.46135919360548394,-0.2980997862381688,1
75,-0.34451629836363384,0.9924742519649596,-0.9926328556830208,0.9106447101025128,0.9704373910306059,-0.9983388995676009,0.7970294600263136,0.5602806137389102,-0.1948120925094632,0.05003437608430139,1
1593,-0.9868917066950827,0.11726207737715932,-0.46079059566761205,0.049124567029807276,0.10568195628682542,-0.6996703246901836,0.8736329631626863,-0.1418402300971353,-0.5491827651050961,-0.4126600867303066,1
1144,-0.015341868879327869,0.9924742519649596,-0.9955797134098126,0.9323797806181178,0.9704373910306059,-0.9983388995676009,0.7980942368960052,0.5602806137389102,-0.1948120925094632,0.0499871504323488,1
1279,0.7479595816432671,0.9924742519649596,-0.994360216025745,0.9830949451545297,0.9704796274445217,-0.9997137251070677,0.8098067824626136,0.5602806137389102,-0.1948120925094632,0.04813746232788077,1
23,0.05928891803486547,0.9924742519649596,-0.991159426819625,0.9372097962882523,0.9704373910306059,-0.9983388995676009,0.7980942368960052,0.5787110326105538,-0.19641672518114184,0.05139633507092805,1
1527,-0.9857378706085187,0.04426314824063904,-0.41575438451655056,-0.019732267844769003,0.03327336750439813,-0.6745471945053912,0.8818319611471473,-0.197776993834615,-0.5785795249791721,-0.4507058866906642,1
1377,-0.4570345168477833,0.9924742519649596,-0.9941379998157867,0.9032957214505402,0.9727342074105787,-0.9983388995676009,0.8191376640272522,0.5357067219100522,-0.1948120925094632,0.04852695161020777,1
1363,-0.09237295436821302,0.9924742519649596,-0.9936199934427892,0.9275497649479834,0.9725635307816495,-0.9983388995676009,0.786381691329397,0.5357067219100522,-0.1932074598377846,0.048300414973720146,1
477,-0.2341665344064464,0.9924742519649596,-0.9915615409557242,0.9178897336077144,0.9704373910306059,-0.9990561168666264,0.8087420055929219,0.5569273777840421,-0.1948120925094632,0.04836243931312384,1
1524,-0.9852302072902978,0.011571649096074332,-0.3954695569758053,-0.05023073318570681,0.0010835704586754646,-0.6631692040252892,0.885554756490903,-0.2228569047525698,-0.5918397807968346,-0.4683154205603852,1
326,0.30845769127977096,0.9924742519649596,-0.9941062845464167,0.9541148511337229,0.9704373910306059,-0.9991694497838005,0.7874464681990886,0.5602806137389102,-0.1932074598377846,0.04793936745021161,1
317,-0.3036963448397636,0.9924742519649596,-0.991159426819625,0.91305971793758,0.9704373910306059,-0.9983388995676009,0.7980942368960052,0.5357067219100522,-0.1932074598377846,0.04885192303067864,1
1641,-0.9864231928692893,0.08693676699670416,-0.442163465529148,0.020427334339292003,0.07558196145991602,-0.6891484842712019,0.877014217872802,-0.16447614755799755,-0.5614006315988547,-0.4286457608557548,1
1479,-0.986384754903703,0.08521242262881223,-0.4414805747775491,0.018039964075579396,0.07376127199278071,-0.6887754108876496,0.8769462476879516,-0.16580892384536938,-0.5618415285183939,-0.42863428079514626,1
1382,-0.9712903203146243,-0.8717139542055048,0.15063310047509626,-0.8807135888263435,-0.8739673042859544,-0.3588166524912806,0.9852651817321847,-0.9010092423242972,-0.9480525636685562,-0.9313072474294878,1
1149,-0.5234849202191789,0.9924742519649596,-0.9955797134098126,0.8985696709271767,0.9716425136437208,-0.9983388995676009,0.8076772287232302,0.5357067219100522,-0.1948120925094632,0.048354510911601374,1
1145,-0.34371733130177873,0.9949828346433065,-0.9941062845464167,0.9106447101025128,0.9706413217025357,-0.9991694497838005,0.7970294600263136,0.5602806137389102,-0.1948120925094632,0.04842517179568733,1
15,-0.3056574458097716,0.9924742519649596,-0.9941062845464167,0.91305971793758,0.9704373910306059,-0.9983388995676009,0.7980942368960052,0.5357067219100522,-0.1948120925094632,0.05139633507092805,1
