,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,W3IWER4_A
1247,2.1960498711544894,1.0978342470740747,2.2003870381652817,-2.252145294278897,-1.0929178908519208,-0.6116020771041841,1.3547362746926592,-0.10387546381663519,-0.8096408574947402,-0.4207847573143137,1
1724,-0.964542858588837,-1.8533209691414456,-1.1431807308864763,1.2932035383165157,-1.5031576829473896,0.3075811830681498,-0.04883654741094593,-0.7799144286394984,-0.6385081681313174,-0.26188232637707026,1
2009,1.4669820490870984,-0.035990570271075634,2.297859263019956,1.5247514888547862,1.3743804529675687,-0.6976745485372363,-0.4706146733495657,-0.6485256532000581,-0.4957736908750264,1.4294441124325006,1
651,3.1994142804785053,-1.6922784604928687,-0.8666408148519918,0.306309483282494,-2.816190962061317,-0.19146766871387794,-0.09769978677072648,-0.599633438325525,-0.026911085860575976,-0.12404654014454872,1
458,-1.1971172236710546,-0.714974587466374,-1.4084702053255225,0.7828199053582969,-0.3548687667872857,-0.787678773599217,-0.6824688323854388,1.788044767997807,0.9374849929586426,0.3841089884174009,1
2154,1.5778780527460479,-1.7498328796450684,0.6488404741409883,0.23555921398126076,2.1703878614437797,0.4279208556908685,-0.551943979980132,-0.46515628659432506,0.7950130892786209,-0.950839563218079,1
1621,0.15614300517396157,0.44777334530138296,1.8996150710783157,0.8549174937193084,0.912729799880509,-0.9844582803816965,-0.6286265213727562,-0.9514479845868427,-0.7899144514982279,1.282757680988655,1
1921,0.6659996608621166,-1.1460668663714906,0.5811892701711984,0.3451803786889311,0.45686815702189326,0.30598302294409574,-0.8319650238656827,1.6574263065583816,-0.5040209253478003,-0.15587496552840197,1
21,-1.3676761161082056,-1.9562769074037665,-0.44247913907161673,0.08376557105937113,-1.3145311944758007,0.639679072559031,-0.17881420128509998,-0.827830613535694,-0.34652267156271455,0.03888052652275223,1
2033,-1.8150973103637862,0.47561103441234787,2.0011966526004388,-0.6336192192777875,0.01997571066373302,-0.5604928185149244,1.5429943662886523,-0.22100527758136998,-0.9518829577081754,-0.38727198829291626,1
303,-1.2529119002149887,0.9082808254711564,0.04051798414099758,2.144440576043454,-1.9350446073469292,0.5260573980241788,0.2832731759191268,-0.4872450510483818,0.7222237621364174,0.4099967318052451,1
442,2.5664497448245056,-0.7149641701925582,0.5747715084235513,-2.996968439977089,-0.03240341019915123,-0.019413450714415373,1.261504744379066,0.06882284560363285,-0.49532557112739833,-0.22988421773176318,1
1576,-1.6318653284184668,-1.257653628385254,0.2539066178224871,-1.647983999058314,0.8540941827787355,-0.49595717890357804,-0.8645419510797508,-1.0916489730374814,0.5463343517550037,-1.1410931537268685,1
1808,-1.5703183829835503,-0.7181299424334682,-0.09167799979886582,0.46094012353582203,-1.2208928941835906,1.1055073066995618,0.024895861148526592,-0.5186911568428543,0.3405570671347023,0.5188087103573883,1
1760,-1.7016365478595794,1.2312519878413568,1.4565309383971137,-0.17680785103523808,0.6511538185602376,-0.22165761603317874,-0.45165097731206133,-0.6297638745852637,1.904272513048679,-0.6519395766837273,1
344,-1.2249387640865428,-0.6610954767703635,-0.9172523592599902,-0.0988175604143734,0.766963828219226,-0.6799749099824578,-0.5600437129078268,-0.6475463502409775,1.5928368005067224,-0.7044433699445656,1
918,-1.1918562550517449,-1.310408573889151,-0.6361698874027994,0.20307874755942898,-0.204943051200613,-0.13032778351555532,-0.20440618137477543,-0.10115521981130284,-0.48951082199377205,-0.28224735308179727,1
1971,-1.7836026650707761,-1.1286657790861658,0.036709746255872026,-1.531360534384077,0.1485565865229938,0.04928174007694808,-1.105535531188222,1.1603208525754554,-1.099308444191138,-0.41706867276153053,1
1884,2.1374601398776334,-0.11450604794499838,1.7993265527171325,2.2879692048687157,0.9786921336409741,-0.9285596365921658,-0.3973409525281787,-0.6874808222145462,0.22696614385814445,-1.448668047910828,1
261,2.5757085823843315,0.6891745664263282,1.9718184680039117,-1.1105537243590433,-1.5040810484905978,-1.2301015179018666,1.4157925090882983,0.0060363290043880915,-0.15216398780569224,-0.21825179469722503,1
886,2.447628950204622,-0.7090687763365959,1.9661193493949214,3.6097507766758983,0.6983390800211063,0.4482769562577132,0.2857630074813715,0.554492888723808,-0.06239607689931278,-0.41246292928484085,1
30,-1.738420756558974,-1.2422602642131244,0.11436148608628476,-1.4604082438402706,0.11479671888482088,-0.07661074054607117,-1.1379487465330462,1.1724546615528304,-0.7891525616380676,-0.26020450690430896,1
1640,-1.3679474656310204,0.43688306155918327,0.8639124168052639,1.3766853721143464,-1.5157307924368957,1.0919532738227427,-0.054787384863348665,-0.8523498941456334,-0.9019978795146041,-0.23921149685685958,1
2112,-1.418978632449709,0.26372401489329816,1.4264083937825143,1.026640877505085,-0.8477270759233182,-0.8049786590839059,-0.7233413613317377,0.8503964889236595,-0.6892403765050553,-0.36337322653929854,1
1828,0.2776436313402927,-0.40647726881741325,0.0007186999340768494,-2.149369617127286,0.652849711655123,0.3757228388758321,1.6309768425164095,0.6126412269887531,1.1602002121151613,0.7552100302260779,1
1690,-1.410310212502031,-1.701841890480535,-0.24607525019998833,0.2683045321538018,-1.273084535570492,0.6463260676082961,-0.1207091515615609,-0.7911950742648927,-0.5351186275810702,-0.017519770980467565,1
1348,2.853085104499233,-0.6572774673970858,0.712379992577254,-2.809830143176721,0.7774358202737762,-0.4961755111909351,-0.951792911430005,-0.8982381469937035,-0.5101340790209069,1.4153822306004513,1
1902,-1.4038098157352077,-1.2334225895107573,0.11856116130961651,0.6243496336642805,-1.5751408815145902,0.7450436439303325,-0.04532942472264777,-0.8350645897828702,-0.5753524329028632,-0.1249927306136903,1
1732,1.7598685492117727,-0.9393772379585856,1.7012854058351763,3.2486859705326108,-0.879547442957465,1.1017215785981984,0.298214141597164,-0.2983218559033148,-0.2942022963662328,-0.24344527359382984,1
