,CENSDIV,MULT3,W1STATE,W2TOTCL,WWWAGEC1,WWWSEX,WWWAGE,W12SEX,W12EDUC3,W1AGECAT,CENSREGN,W2CIVLIB,W12AGEC1,W2FIPCOM,WWWEDU3,WWWEDU5,W1FIPCOM,IMPHISP,AGE4049M,IMPRACE,W1TRUAM3,W1TRUAM2,AGE5059M,WWWRACE3,WWWMALE,COMPLET3,W12HISP,COMPLET2,WWWBRNUS,RAC3,WWWHISP,W2SECURE,W2MISSCL,WWWBLACK,W12RACE4,W12WHITE,WWWWHITE,MULT2,RACES,USAWT2RC,EDUCAT4,WWWRACE4,W12BLACK,HISWT2RC,WWWHOMLN,AGE65PLM,NEWRACE,W12OTHET,AGE3039,USAWT2CC,RACWT1RV,USAWT1RV,RHWT2RC,RACWT2RC,HISWT1RV,RHWT2CC,USAWT2NC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1147,-0.935483870967742,1.0,0.19999999999999996,1.0000000000000002,0.9999999999999998,1,0.706666666666667,1.0,1.0,0.9999999999999998,-0.9999999999999999,-0.2727272727272727,0.9999999999999998,0.1428571428571428,1.0,0.5,-0.1428571428571429,0.1428571428571428,-1.0,-1.0,1.0,1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,0.4545454545454546,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-0.9292792390524015,1.0,-0.9999999999999999,-1.0,-0.9292792390524802,-1.0,1.0,-1.0,-1.0,-1.0,-0.9715907119698496,-0.9697178878647092,-0.9351610525172983,-0.9292792390524129,-0.9292792390525177,-0.9351610525172436,-0.9842968085762243,-1.0,0,0,0,1,1,0,1
267,-0.935483870967742,1.0,0.49090909090909074,1.0000000000000002,-0.33333333333333326,1,-0.4933333333333333,1.0,1.0,-0.33333333333333326,-0.9999999999999999,-0.6363636363636362,-0.33333333333333326,0.4285714285714285,1.0,1.0,-0.1428571428571429,0.1428571428571428,-1.0,0.0,-0.5,-0.19999999999999996,-1.0,0,-1,-1.0,-1.0,-1.0,1.0,0.0,-1,0.8181818181818183,-0.8181818181818181,1,-0.33333333333333326,-1.0,-1,-1.0,-0.5999999999999999,-0.9860189996332027,1.0,-0.33333333333333326,1.0,-0.9860189996331326,1.0,-1.0,0.0,-1.0,1.0,-0.9956687220719531,-0.9930787900556016,-0.9930787900556668,-0.9732639763709796,-0.9751897941929208,-0.9930787900556793,-0.9945653454128173,-1.0,0,0,0,1,1,0,1
2243,0.41935483870967727,1.0,0.709090909090909,1.0000000000000002,0.6666666666666667,1,0.20000000000000018,1.0,0.0,0.6666666666666667,0.3333333333333335,0.2727272727272727,0.6666666666666667,-0.1428571428571429,0.0,0.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,1.0,-1.0,1.0,-1.0,1,-0.09090909090909083,-0.8181818181818181,-1,0.3333333333333335,-1.0,-1,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,0.3333333333333335,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.9989806380588245,-1.0,-1.0,-1.0,-1.0,-1.0,-0.998692460600181,-0.9992710264919236,1,0,0,1,1,0,1
936,0.35483870967741926,1.0,-0.0181818181818183,1.0000000000000002,0.33333333333333326,-1,0.01333333333333342,-1.0,-1.0,0.33333333333333326,0.3333333333333335,0.6363636363636365,0.33333333333333326,0.4285714285714285,-1.0,-1.0,-0.1428571428571429,0.1428571428571428,-1.0,-1.0,1.0,1.0,1.0,-1,1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-0.4545454545454545,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-0.5723211758812619,-0.9999999999999999,-0.9999999999999999,-1.0,-0.5723211758812841,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8287363001030883,-0.8466300456444972,-0.671609880729964,-0.5723211758813973,-0.5723211758814206,-0.6716098807299828,-0.9053342463010868,-1.0,0,0,0,0,0,0,0
1528,-0.29032258064516125,1.0,0.018181818181818077,0.8181818181818183,0.0,-1,-0.22666666666666657,-1.0,-1.0,0.0,-0.33333333333333326,0.6363636363636365,0.0,-0.1428571428571429,0.0,-0.5,-1.0,0.1428571428571428,1.0,1.0,-1.0,-1.0,-1.0,1,1,-1.0,-1.0,-1.0,1.0,1.0,-1,-0.6363636363636362,-0.6363636363636362,-1,1.0,-1.0,-1,-1.0,1.0000000000000004,-1.0,-0.33333333333333326,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.9367968739626669,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9650645667117215,-0.9534155522341333,1,0,0,1,0,0,0
1454,-0.3548387096774195,1.0,0.9636363636363636,1.0000000000000002,-1.0,1,-0.9733333333333333,1.0,0.0,-1.0,-0.33333333333333326,0.6363636363636365,-1.0,0.9999999999999999,0.0,0.0,0.9999999999999999,0.1428571428571428,-1.0,-1.0,-0.5,-0.19999999999999996,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-0.4545454545454545,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-0.5789268020507587,0.3333333333333335,-0.9999999999999999,-1.0,-0.5789268020506599,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8322313388466887,-0.7566174312344276,-0.4788781732313848,-0.578926802050491,-0.5789268020507403,-0.4788781732314552,-0.9072661237337023,-1.0,1,0,0,0,0,0,0
1196,-0.935483870967742,1.0,0.49090909090909074,-1.0,0.9999999999999998,1,0.44000000000000017,1.0,-1.0,0.9999999999999998,-0.9999999999999999,-1.0,0.9999999999999998,-1.0,0.0,-0.5,-0.1428571428571429,0.1428571428571428,-1.0,-1.0,0.0,0.20000000000000018,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1.0,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,-0.33333333333333326,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.7156857575110671,-0.39123677519873035,-1.0,-1.0,-0.3912367751987228,-1.0,-1.0,0,0,0,0,0,0,0
419,0.9999999999999998,1.0,-0.8181818181818182,-1.0,0.9999999999999998,1,0.4666666666666668,1.0,1.0,0.9999999999999998,1.0,-1.0,0.9999999999999998,-1.0,1.0,1.0,-0.1428571428571429,0.1428571428571428,-1.0,0.0,0.0,0.20000000000000018,-1.0,0,-1,-1.0,-1.0,-1.0,1.0,0.0,-1,-1.0,-1.0,1,-0.33333333333333326,-1.0,-1,-1.0,-0.5999999999999999,-1.0,1.0,-0.33333333333333326,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.9900798352105136,-0.9900798352104655,-1.0,-1.0,-0.9900798352105458,-1.0,-1.0,0,0,0,1,0,0,0
1826,0.29032258064516125,1.0,0.8181818181818181,1.0000000000000002,0.33333333333333326,1,-0.1466666666666665,1.0,0.0,0.33333333333333326,0.3333333333333335,0.2727272727272727,0.33333333333333326,0.9999999999999999,0.0,0.0,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-0.09090909090909083,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8686213077162005,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9273806245426275,-0.8693251221391525,0,0,0,1,0,0,0
3202,0.9354838709677418,1.0,-0.7454545454545455,1.0000000000000002,-0.33333333333333326,-1,-0.6533333333333332,-1.0,1.0,-0.33333333333333326,1.0,1.0000000000000002,-0.33333333333333326,0.9999999999999999,1.0,1.0,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-0.8181818181818181,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.9504322450156445,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9726014976461526,-0.9506563212840324,0,0,0,0,1,0,0
