,CENSDIV,MULT3,W1STATE,W2TOTCL,WWWAGEC1,WWWSEX,WWWAGE,W12SEX,W12EDUC3,W1AGECAT,CENSREGN,W2CIVLIB,W12AGEC1,W2FIPCOM,WWWEDU3,WWWEDU5,W1FIPCOM,IMPHISP,AGE4049M,IMPRACE,W1TRUAM3,W1TRUAM2,AGE5059M,WWWRACE3,WWWMALE,COMPLET3,W12HISP,COMPLET2,WWWBRNUS,RAC3,WWWHISP,W2SECURE,W2MISSCL,WWWBLACK,W12RACE4,W12WHITE,WWWWHITE,MULT2,RACES,USAWT2RC,EDUCAT4,WWWRACE4,W12BLACK,HISWT2RC,WWWHOMLN,AGE65PLM,NEWRACE,W12OTHET,AGE3039,USAWT2CC,RACWT1RV,USAWT1RV,RHWT2RC,RACWT2RC,HISWT1RV,RHWT2CC,USAWT2NC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
2417,0.29032258064516125,1.0,-0.6000000000000001,1.0000000000000002,0.0,-1,-0.22666666666666657,-1.0,1.0,0.0,0.3333333333333335,-0.2727272727272727,0.0,0.4285714285714285,1.0,0.5,-1.0,-0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-1,1,-1.0,1.0,-1.0,-1.0,-1.0,1,0.4545454545454546,-0.8181818181818181,-1,0.3333333333333335,-1.0,-1,-1.0,-0.9999999999999999,-1.0,1.0,0.3333333333333335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.999341911219693,-1.0,-1.0,-1.0,-1.0,-1.0,-0.999155867043798,-0.9993390493570695,0,0,0,1,1,0,0
1260,0.41935483870967727,1.0,0.709090909090909,1.0000000000000002,0.33333333333333326,1,0.09333333333333349,1.0,1.0,0.33333333333333326,0.3333333333333335,0.2727272727272727,0.33333333333333326,0.9999999999999999,1.0,1.0,0.9999999999999999,0.1428571428571428,-1.0,-1.0,-1.0,-0.6,1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-0.09090909090909083,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-0.7958998955630757,1.0,-0.9999999999999999,-1.0,-0.7958998955630644,-1.0,-1.0,-1.0,-1.0,-1.0,-0.918680169078938,-0.9142069650975225,-0.8163031013306905,-0.7958998955631759,-0.7958998955631069,-0.8163031013304949,-0.9550505852118503,-1.0,1,0,0,1,1,0,1
2741,0.29032258064516125,1.0,-0.6363636363636365,0.4545454545454546,0.33333333333333326,1,0.01333333333333342,1.0,1.0,0.33333333333333326,0.3333333333333335,-0.09090909090909083,0.33333333333333326,0.4285714285714285,1.0,1.0,-1.0,0.1428571428571428,-1.0,0.0,-1.0,-1.0,1.0,0,-1,-1.0,-1.0,-1.0,1.0,0.0,-1,-0.2727272727272727,-0.2727272727272727,1,-0.33333333333333326,-1.0,-1,-1.0,-0.5999999999999999,-1.0,1.0,-0.33333333333333326,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.9890790696059248,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9862970039215954,-0.9902351001037568,0,0,0,1,1,0,0
1831,-0.935483870967742,1.0,0.49090909090909074,0.8181818181818183,-1.0,1,-0.8666666666666666,1.0,0.0,-1.0,-0.9999999999999999,-0.09090909090909083,-1.0,0.9999999999999999,0.0,0.0,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,0.09090909090909105,-0.6363636363636362,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8294504425363631,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9057289874618247,-0.8300606377330197,0,0,0,1,0,0,0
443,-0.29032258064516125,1.0,0.018181818181818077,-1.0,-0.33333333333333326,-1,-0.6,-1.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,-0.33333333333333326,-1.0,-1.0,-1.0,0.4285714285714285,0.1428571428571428,-1.0,0.0,0.5,0.6000000000000001,-1.0,0,1,1.0,-1.0,1.0,1.0,0.0,-1,-1.0,-1.0,1,-0.33333333333333326,-1.0,-1,-1.0,-0.5999999999999999,-1.0,-0.9999999999999999,-0.33333333333333326,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-0.8840248269944742,-0.8840248269942785,-1.0,-1.0,-0.884024826994313,-1.0,-1.0,0,0,0,0,0,0,0
3072,-1.0,1.0,-0.7090909090909091,1.0000000000000002,-0.33333333333333326,1,-0.43999999999999995,1.0,1.0,-0.33333333333333326,-0.9999999999999999,-0.09090909090909083,-0.33333333333333326,0.7142857142857141,1.0,0.5,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,0.2727272727272727,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.9060446257208189,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9480663075388911,-0.906880527627215,1,0,0,1,1,0,1
1642,0.9999999999999998,1.0,-0.8181818181818182,1.0000000000000002,0.9999999999999998,1,0.52,1.0,1.0,0.9999999999999998,1.0,0.8181818181818183,0.9999999999999998,0.9999999999999999,1.0,0.5,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1.0,-1.0,1.0,1.0,-1.0,-1,-0.6363636363636362,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.8548859302328924,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9197884152036367,-0.8552070467202031,1,0,0,1,1,0,0
2742,-0.935483870967742,1.0,0.49090909090909074,0.8181818181818183,0.9999999999999998,-1,0.5733333333333337,-1.0,1.0,0.9999999999999998,-0.9999999999999999,0.4545454545454546,0.9999999999999998,0.4285714285714285,1.0,0.5,-1.0,0.1428571428571428,-1.0,0.0,-1.0,-1.0,-1.0,0,1,1.0,-1.0,1.0,1.0,0.0,-1,-0.4545454545454545,-0.6363636363636362,1,-0.33333333333333326,-1.0,-1,-1.0,-0.5999999999999999,-1.0,1.0,-0.33333333333333326,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-0.9940798988843211,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9925717755314414,-0.9958062813297786,0,0,0,1,1,0,0
3189,-0.3548387096774195,1.0,0.38181818181818183,1.0000000000000002,0.33333333333333326,-1,0.01333333333333342,-1.0,0.0,0.33333333333333326,-0.33333333333333326,0.4545454545454546,0.33333333333333326,0.9999999999999999,0.0,0.0,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,1.0,-1,1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-0.2727272727272727,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6965524491709931,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8322698206063763,-0.6943575301775993,1,0,0,0,0,0,0
928,0.35483870967741926,1.0,-1.0,-1.0,0.0,1,-0.19999999999999996,1.0,0.0,0.0,0.3333333333333335,-1.0,0.0,-1.0,0.0,0.0,0.4285714285714285,0.1428571428571428,1.0,-1.0,0.0,0.20000000000000018,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1.0,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8071737539886378,-0.5871275166498218,-1.0,-1.0,-0.5871275166497234,-1.0,-1.0,0,0,0,0,0,0,0
698,-0.935483870967742,1.0,0.2727272727272727,1.0000000000000002,-0.6666666666666666,1,-0.7066666666666666,1.0,1.0,-0.6666666666666666,-0.9999999999999999,1.0000000000000002,-0.6666666666666666,-0.1428571428571429,1.0,0.5,0.9999999999999999,0.1428571428571428,-1.0,0.0,0.0,0.20000000000000018,-1.0,0,-1,-1.0,-1.0,-1.0,1.0,0.0,-1,-0.8181818181818181,-0.8181818181818181,1,-0.33333333333333326,-1.0,-1,-1.0,-0.5999999999999999,-0.5069438452957464,1.0,-0.33333333333333326,1.0,-0.5069438452957964,-1.0,-1.0,0.0,-1.0,-1.0,-0.8472524723466384,-0.7559155231026846,-0.7559155231026837,-0.057123191715452215,-0.1250393854821794,-0.7559155231027674,-0.8083406177964001,-1.0,0,0,0,1,1,0,0
137,0.9999999999999998,1.0,-0.8181818181818182,1.0000000000000002,0.0,1,-0.22666666666666657,1.0,-1.0,0.0,1.0,0.4545454545454546,0.0,-0.1428571428571429,0.0,-0.5,0.1428571428571428,0.1428571428571428,1.0,-1.0,0.5,0.6000000000000001,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-0.2727272727272727,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-0.9836179904327852,-0.33333333333333326,-0.9999999999999999,-1.0,-0.9836179904327212,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9934708313528886,-0.9920641930227095,-0.9830081412573067,-0.9836179904327244,-0.9836179904328834,-0.9830081412571284,-0.9963910118058505,-1.0,0,0,0,1,0,0,0
610,-0.3548387096774195,1.0,-0.4181818181818182,-1.0,0.33333333333333326,1,0.09333333333333349,1.0,-1.0,0.33333333333333326,-0.33333333333333326,-1.0,0.33333333333333326,-1.0,-1.0,-1.0,0.4285714285714285,0.1428571428571428,-1.0,-1.0,1.0,1.0,1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1.0,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8137038447868925,-0.6011095074844119,-1.0,-1.0,-0.6011095074843201,-1.0,-1.0,0,0,0,0,0,0,0
2357,0.9999999999999998,1.0,-0.8181818181818182,1.0000000000000002,0.0,-1,-0.2799999999999998,-1.0,0.0,0.0,1.0,-0.09090909090909083,0.0,0.4285714285714285,0.0,0.0,-1.0,-0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-1,1,-1.0,1.0,-1.0,-1.0,-1.0,1,0.2727272727272727,-0.8181818181818181,-1,0.3333333333333335,-1.0,-1,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,0.3333333333333335,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.9985357118948747,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9981217521344956,-0.9984340022511503,0,0,0,1,0,0,0
