,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-0.6951019953906824,0.164573632474126,-0.023808348821772452,-0.10238072402360139,0.749611825279123,0.274216397779025,-0.7553426197179133,-0.0058672217092146355,0.012877170348287453,1,0,1,1,1,1,1
1428,-0.6844001438343932,-0.19399239774253854,-0.16513824275887337,-0.39586177586242843,0.21710249200601958,-0.13013639854960016,-0.017091326194506692,-0.04700269893327223,-0.015264079564246637,0,0,0,0,1,1,1
1386,1.293896690870336,-1.3635665861960704,0.2899265326074379,-0.13953494927168011,-0.1007965661692523,0.3366440297889869,-0.11907116606915102,0.17706642113745122,-0.020205984467635416,0,0,0,0,0,0,0
1967,0.5605346716852968,0.8290775414954059,-0.6067785467663955,0.2579181612750594,-0.29588978943983774,0.7279934625910226,-0.17030866546539805,1.3718968579174533,-0.040621129697787965,0,0,1,0,1,1,1
2243,0.8071886622647167,1.9473778096551293,-0.15105826125091074,0.07909201223355933,1.1377447751865604,0.6245366259583915,1.2435623260613178,0.4466628430348639,0.015671232052440552,1,0,1,1,1,1,1
1196,-0.6832568743409011,0.06551464860820304,-0.09959728626526938,0.3284622908378091,0.4630866084550494,0.15287942071843402,-0.6089596025449835,-0.014293948570366937,-0.009456244898479106,0,0,1,1,1,1,1
419,1.732869922155572,0.10000044574651429,1.8579561923439525,-0.06983600860112499,-0.779574353109923,0.35788989534165805,-0.6602734725555902,0.03323076309603401,0.015276718694825778,0,0,1,1,0,0,0
1826,-0.7641352306078588,0.061707315729482244,-0.39967255305307087,0.9744683113218634,0.22042108684398126,-0.7773286041866836,-0.2768504881825499,0.011365742833087182,0.0025556675517461012,0,0,1,1,1,1,1
1260,-0.8028220457331358,0.6750589327856544,1.3389819454760903,0.972436406714627,-0.4481517617627008,-1.0492249608922202,-0.6135123133353771,0.2301723260009766,0.05145248626007914,1,0,1,1,1,1,1
3072,-0.5824482815289878,-0.5741062525824503,-0.2793515138847997,1.0703999834479847,-0.7924458063517258,8.964552249351249e-05,0.3088832975426096,-0.09563098686688026,-0.027921039229397645,1,0,1,1,1,1,1
