,WWWMALE,WWWWHITE,WWWSEX,W2TOTCL,W12WHITE,AGE65PLM,W2FIPCOM,AGE4049M,W12EDUC3,W12BLACK,W1FIPCOM,WWWBLACK,AGE5059M,AGE1829,AGE3039,WWWHOMLN,W2CIVLIB,W1TRUAM2,WWWAGEC1,EDUCAT4,CENSDIV,W12HISP,WWWEDU3,WWWBRNUS,WWWHISP,W1STATE,WWWEDU5,W2SECURE,W12RACE4,WWWRACE4,AGE6064M,RAC3,NEWRACE,WWWRACE3,WWWAGE,IMPHISP,COMPLET2,RACES,W12OTHET,W2MISSCL,USAWT2RC,USAWT1RV,RACWT1RV,MULT2,RHWT2RC,RHWT2CC,USAWT2CC,USAWT2NC,W3IWER4_A
66,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.4285714285714285,1,-1.0,-1.0,1.0,-1.0,-1.0,-0.19999999999999996,-0.33333333333333326,-0.33333333333333326,0.29032258064516125,-1.0,0.0,1.0,-1,-0.1636363636363637,-0.5,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.6799999999999999,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9546457569332184,-0.9219833711569183,-1.0,-1.0,-1.0,-1.0,-1.0,0
420,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.9999999999999999,-1,-1.0,1.0,-1.0,-1.0,-1.0,-0.19999999999999996,-0.6666666666666666,0.3333333333333335,0.29032258064516125,-1.0,0.0,1.0,-1,0.9272727272727272,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.7866666666666666,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7599377708371864,-0.8071394955439777,-1.0,-1.0,-1.0,-1.0,-1.0,0
47,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.4285714285714285,-1,-1.0,1.0,-1.0,1.0,-1.0,0.20000000000000018,-1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,-1,-0.8181818181818182,0.5,-1.0,1.0,1.0,-1.0,1.0,1.0,1,-0.8666666666666666,0.2796165332134928,0.0,0.6000000000000001,1.0,-1.0,-1.0,-0.3583777969788636,-0.6451712338616034,-1.0,-1.0,-1.0,-1.0,-1.0,0
505,1,1,-1.0,1.0000000000000002,1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1.0,-1.0,-1.0,0.4545454545454546,-1.0,-0.6666666666666666,-0.33333333333333326,0.35483870967741926,-1.0,0.0,1.0,-1,0.6727272727272726,-0.5,-0.2727272727272727,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.7866666666666666,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999998,1.0,1.0,0
192,1,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.7142857142857141,-1,-1.0,-1.0,1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,0.3333333333333335,0.29032258064516125,-1.0,0.0,1.0,-1,-0.6000000000000001,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.5733333333333333,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9978713434455193,-0.9982898860086049,-1.0,-1.0,-1.0,-1.0,-1.0,0
362,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4285714285714285,-1,-1.0,1.0,-1.0,-1.0,-1.0,0.20000000000000018,-1.0,-0.33333333333333326,0.9999999999999998,1.0,0.0,1.0,1,-0.8181818181818182,-0.5,-1.0,0.3333333333333335,0.3333333333333335,-1.0,1.0,1.0,1,-0.8666666666666666,-1.0,0.0,1.0000000000000004,-1.0,-1.0,-1.0,-0.7706699717784293,-0.873176316889948,-1.0,-1.0,-1.0,-1.0,-1.0,0
248,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.4285714285714285,-1,-1.0,1.0,-1.0,-1.0,-1.0,-0.19999999999999996,-0.6666666666666666,0.3333333333333335,-0.3548387096774195,-1.0,0.0,1.0,-1,-0.09090909090909094,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.7333333333333333,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8380090481368565,-0.8698601741614281,-1.0,-1.0,-1.0,-1.0,-1.0,0
405,-1,-1,1.0,1.0000000000000002,-1.0,-1.0,-0.1428571428571429,-1.0,-1.0,1.0,-1.0,1,1.0,-1.0,-1.0,-1.0,0.2727272727272727,-1.0,0.33333333333333326,-0.33333333333333326,-0.935483870967742,-1.0,0.0,1.0,-1,0.49090909090909074,-0.5,-0.09090909090909083,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.09333333333333327,0.2796165332134928,0.0,-0.5999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9747476990278328,-0.9888757014086726,-0.9883688857411392,0
161,1,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,-0.33333333333333326,0.29032258064516125,-1.0,0.0,1.0,-1,-0.5636363636363637,-0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.6,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.6181190694652294,-0.6932055943913851,-1.0,-1.0,-1.0,-1.0,-1.0,0
519,-1,1,1.0,1.0000000000000002,1.0,-1.0,0.4285714285714285,-1.0,0.0,-1.0,0.4285714285714285,-1,-1.0,1.0,-1.0,-1.0,0.09090909090909105,0.20000000000000018,-0.6666666666666666,0.3333333333333335,0.35483870967741926,-1.0,0.0,1.0,-1,0.6727272727272726,0.0,0.09090909090909105,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.7599999999999999,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-0.5025026154390637,-0.7318048101424282,-0.7845381183493887,-1.0,-0.6652770259538716,-0.8572096099149242,-0.8572096099149162,-1.0,0
303,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-0.1428571428571429,1,-1.0,1.0,-1.0,-1.0,-1.0,-0.6,-0.6666666666666666,0.3333333333333335,0.29032258064516125,-1.0,0.0,1.0,-1,0.3090909090909091,0.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.7066666666666666,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.26487931430518186,0.2645263995755278,-1.0,-1.0,-1.0,-1.0,-1.0,0
397,1,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.0,1.0,-0.29032258064516125,-1.0,1.0,1.0,-1,-0.054545454545454564,0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.19999999999999996,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9320925282679557,-0.9454446903195114,-1.0,-1.0,-1.0,-1.0,-1.0,0
524,-1,-1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999999,1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999998,-0.9999999999999999,-0.3548387096774195,-1.0,-1.0,1.0,-1,-0.09090909090909094,-1.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,0.41333333333333355,0.2796165332134928,0.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9966957423672053,-0.9943161427926361,-1.0,-1.0,-1.0,-1.0,-1.0,0
189,1,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.1428571428571429,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999998,-0.9999999999999999,0.29032258064516125,-1.0,-1.0,1.0,-1,-0.1636363636363637,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.28,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9708916249804438,-0.9766149972457566,-1.0,-1.0,-1.0,-1.0,-1.0,0
225,-1,-1,1.0,1.0000000000000002,-1.0,1.0,0.4285714285714285,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.2727272727272727,-1.0,0.9999999999999998,-0.9999999999999999,0.41935483870967727,1.0,-1.0,-1.0,1,0.709090909090909,-1.0,-0.09090909090909083,0.3333333333333335,0.3333333333333335,-1.0,-1.0,-1.0,-1,0.4666666666666668,-1.0,0.0,-0.9999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9600778554125527,-0.9827965690507936,-0.979915974949766,0
466,-1,1,1.0,1.0000000000000002,1.0,-1.0,0.9999999999999999,1.0,0.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-0.2727272727272727,-1.0,0.0,0.3333333333333335,-0.935483870967742,-1.0,0.0,1.0,-1,0.19999999999999996,0.0,0.4545454545454546,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.30666666666666664,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.963031559978694,-0.963031559978628,-0.9629498660672234,0
417,1,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.6666666666666667,-0.9999999999999999,-0.3548387096774195,-1.0,-1.0,1.0,-1,-0.38181818181818183,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,1.0,-1.0,-1.0,-1,0.1200000000000001,0.2796165332134928,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7979168312808336,-0.8376510040868363,-1.0,-1.0,-1.0,-1.0,-1.0,0
35,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-0.1428571428571429,1,-1.0,-1.0,1.0,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,0.3333333333333335,-0.3548387096774195,-1.0,0.0,1.0,-1,-0.09090909090909094,0.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.4933333333333333,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.995080724597407,-0.9915380511876289,-1.0,-1.0,-1.0,-1.0,-1.0,0
139,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.1428571428571429,-1,-1.0,-1.0,1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,1.0,0.29032258064516125,-1.0,1.0,1.0,-1,0.9272727272727272,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.6533333333333332,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8593172016553716,-0.886978657360343,-1.0,-1.0,-1.0,-1.0,-1.0,0
262,-1,1,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.9999999999999998,0.3333333333333335,-0.3548387096774195,-1.0,0.0,-1.0,-1,-0.4181818181818182,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.5733333333333337,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8449623411068481,-0.8754462907049827,-1.0,-1.0,-1.0,-1.0,-1.0,0
419,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,-1,1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.33333333333333326,1.0,-0.935483870967742,-1.0,1.0,1.0,-1,0.19999999999999996,0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.09333333333333327,0.2796165332134928,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7581374116917026,-0.8056931281822322,-1.0,-1.0,-1.0,-1.0,-1.0,0
108,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-0.1428571428571429,1,-1.0,1.0,-1.0,-1.0,-1.0,0.20000000000000018,-1.0,0.3333333333333335,-0.935483870967742,-1.0,0.0,1.0,-1,0.49090909090909074,0.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-1.0,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.20428417341547378,0.3687598361146873,1.0,-1.0,-1.0,-1.0,-1.0,0
226,-1,-1,1.0,1.0000000000000002,-1.0,1.0,0.4285714285714285,-1.0,1.0,1.0,-0.1428571428571429,1,-1.0,-1.0,-1.0,-1.0,0.09090909090909105,0.6000000000000001,0.9999999999999998,1.0,0.9999999999999998,-1.0,1.0,1.0,-1,-0.8181818181818182,1.0,0.09090909090909105,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,0.4933333333333334,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-0.7142857142857143,-0.9734678432450353,-0.9876652494343804,-0.9787822353173193,-1.0,-0.9658629613811881,-0.9818418289142473,-0.992000851041148,-1.0,0
176,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.1428571428571429,1,1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,0.33333333333333326,-0.33333333333333326,-0.3548387096774195,-1.0,0.0,1.0,-1,0.38181818181818183,-0.5,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.11999999999999988,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9664781871936143,-0.9423370637227231,-1.0,-1.0,-1.0,-1.0,-1.0,0
72,1,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,0.0,1.0,0.9354838709677418,-1.0,1.0,-1.0,-1,-0.8909090909090909,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.41333333333333333,0.2796165332134928,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9894688861699764,-0.9915395440056608,-1.0,-1.0,-1.0,-1.0,-1.0,0
406,-1,-1,1.0,1.0000000000000002,-1.0,-1.0,0.4285714285714285,-1.0,0.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,1.0,0.8181818181818183,-1.0,-0.33333333333333326,0.3333333333333335,0.41935483870967727,1.0,0.0,1.0,1,0.709090909090909,0.0,-0.6363636363636362,0.3333333333333335,0.3333333333333335,-1.0,-1.0,-1.0,-1,-0.46666666666666656,-1.0,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9938484940122116,-0.9973491652418366,-0.9980933048684261,0
154,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.1428571428571429,-1,-1.0,-1.0,1.0,-1.0,-1.0,-0.19999999999999996,-0.33333333333333326,0.3333333333333335,0.29032258064516125,-1.0,0.0,1.0,-1,-0.1636363636363637,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.5199999999999999,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7491712059760387,-0.7984898835761223,-1.0,-1.0,-1.0,-1.0,-1.0,0
28,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.4285714285714285,-1,-1.0,1.0,-1.0,1.0,-1.0,-0.19999999999999996,-0.6666666666666666,1.0,0.29032258064516125,1.0,1.0,1.0,1,0.3090909090909091,0.5,-1.0,0.3333333333333335,0.3333333333333335,-1.0,-1.0,-1.0,-1,-0.7866666666666666,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8729131705370089,-0.897901347807064,-1.0,-1.0,-1.0,-1.0,-1.0,0
217,1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,-1.0,1.0,-1.0,0.20000000000000018,0.9999999999999998,1.0,0.41935483870967727,1.0,1.0,1.0,1,0.709090909090909,1.0,-1.0,0.3333333333333335,0.3333333333333335,-1.0,-1.0,-1.0,-1,0.3333333333333335,-1.0,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9935501500255539,-0.994818338044709,-1.0,-1.0,-1.0,-1.0,-1.0,0
143,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.4285714285714285,1,-1.0,-1.0,1.0,-1.0,-1.0,-0.19999999999999996,-0.33333333333333326,-0.9999999999999999,0.29032258064516125,-1.0,-1.0,1.0,-1,-0.6363636363636365,-1.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.43999999999999995,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9787950534917295,-0.9635240645745089,-1.0,-1.0,-1.0,-1.0,-1.0,0
378,-1,1,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,0.0,0.3333333333333335,-0.29032258064516125,-1.0,0.0,1.0,-1,-0.054545454545454564,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.2799999999999998,0.2796165332134928,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8464230480056616,-0.8766197892198594,-1.0,-1.0,-1.0,-1.0,-1.0,0
173,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1,-1.0,1.0,-1.0,-1.0,-1.0,-0.6,-1.0,-0.33333333333333326,0.9354838709677418,-1.0,0.0,-1.0,-1,0.23636363636363633,-0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.8666666666666666,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9799881671845856,-0.9839229512059694,-1.0,-1.0,-1.0,-1.0,-1.0,0
144,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.4285714285714285,1,1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.33333333333333326,-0.9999999999999999,-0.29032258064516125,-1.0,-1.0,1.0,-1,0.018181818181818077,-1.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,0.06666666666666687,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.8557962633484717,-0.7519462647945809,-1.0,-1.0,-1.0,-1.0,-1.0,0
59,1,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.1428571428571429,-1,-1.0,-1.0,-1.0,1.0,-1.0,-0.6,0.0,1.0,0.9999999999999998,-1.0,1.0,-1.0,-1,-0.8181818181818182,0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.2533333333333332,0.2796165332134928,-1.0,-0.19999999999999973,-1.0,-1.0,-1.0,-0.7774821936474903,-0.8212342835719442,-1.0,-1.0,-1.0,-1.0,-1.0,0
360,-1,1,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,0.0,0.3333333333333335,0.29032258064516125,-1.0,0.0,1.0,-1,-0.6000000000000001,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.3866666666666665,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9984127358639335,-0.9987248282953827,-1.0,-1.0,-1.0,-1.0,-1.0,0
95,-1,-1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.4285714285714285,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.6000000000000001,0.9999999999999998,-0.33333333333333326,0.29032258064516125,-1.0,0.0,1.0,-1,0.8181818181818181,-0.5,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,0.4666666666666668,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9921115976357762,-0.9864306729028047,-1.0,-1.0,-1.0,-1.0,-1.0,0
123,1,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.1428571428571428,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.9999999999999998,1.0,0.41935483870967727,-1.0,1.0,1.0,-1,0.4181818181818182,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.4666666666666668,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8053624454462084,-0.8436326402188662,-1.0,-1.0,-1.0,-1.0,-1.0,0
87,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.4285714285714285,-1,1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,0.33333333333333326,0.3333333333333335,0.41935483870967727,-1.0,0.0,1.0,-1,0.709090909090909,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.09333333333333327,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9981503415070055,-0.9985140266702419,-1.0,-1.0,-1.0,-1.0,-1.0,0
293,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,0.3333333333333335,0.29032258064516125,-1.0,0.0,1.0,-1,-0.5636363636363637,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.5466666666666666,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7599377708371864,-0.8071394955439777,-1.0,-1.0,-1.0,-1.0,-1.0,0
527,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,1.0,-1.0,-1.0,1.0,1.0,-1,-0.7090909090909091,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.6799999999999999,0.2796165332134928,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8044268938437181,-0.8428810394585202,-1.0,-1.0,-1.0,-1.0,-1.0,0
496,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,1.0,1.0,-1.0,0.20000000000000018,-0.33333333333333326,1.0,0.35483870967741926,-1.0,1.0,1.0,-1,-0.0181818181818183,0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.5466666666666666,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9247884399424927,-0.9395767528103008,-1.0,-1.0,-1.0,-1.0,-1.0,0
408,-1,-1,1.0,0.8181818181818183,-1.0,-1.0,0.4285714285714285,-1.0,0.0,1.0,-1.0,1,-1.0,-1.0,1.0,-1.0,0.6363636363636365,-1.0,-0.33333333333333326,0.3333333333333335,-0.935483870967742,-1.0,0.0,1.0,-1,0.19999999999999996,0.0,-0.6363636363636362,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.6,0.2796165332134928,0.0,-0.5999999999999999,-1.0,-0.4285714285714286,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9175467435255963,-0.9636771854628126,-0.9662992220505133,0
357,-1,1,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.0,-0.33333333333333326,-0.3548387096774195,-1.0,0.0,1.0,-1,-0.09090909090909094,-0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.3866666666666665,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7408872819410364,-0.791834768467618,-1.0,-1.0,-1.0,-1.0,-1.0,0
49,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.9999999999999999,-1,1.0,-1.0,-1.0,1.0,-1.0,0.20000000000000018,0.33333333333333326,0.3333333333333335,0.35483870967741926,-1.0,0.0,1.0,-1,-0.0181818181818183,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.06666666666666665,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8659024050712141,-0.8922690591746943,-1.0,-1.0,-1.0,-1.0,-1.0,0
214,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-0.1428571428571429,1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.3333333333333335,-0.3548387096774195,-1.0,0.0,1.0,-1,0.38181818181818183,0.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.33333333333333326,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.986776413403655,-0.9772532936787746,-1.0,-1.0,-1.0,-1.0,-1.0,0
314,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1428571428571429,-1,-1.0,-1.0,1.0,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,-0.33333333333333326,-1.0,-1.0,0.0,1.0,-1,-0.20000000000000007,-0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.4933333333333333,0.2796165332134928,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.3114224585851755,-0.4468125516556892,-1.0,-1.0,-1.0,-1.0,-1.0,0
350,1,1,-1.0,1.0000000000000002,1.0,1.0,-0.1428571428571429,-1.0,-1.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,0.9999999999999998,-0.33333333333333326,0.41935483870967727,-1.0,0.0,1.0,-1,0.709090909090909,-0.5,-0.8181818181818181,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.6800000000000002,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-0.4364865782016637,-0.7774947186003878,-0.8212443458326963,-1.0,-0.6208605425619611,-0.838193903435753,-0.8381939034357565,-1.0,0
