,WWWMALE,WWWWHITE,WWWSEX,W2TOTCL,W12WHITE,AGE65PLM,W2FIPCOM,AGE4049M,W12EDUC3,W12BLACK,W1FIPCOM,WWWBLACK,AGE5059M,AGE1829,AGE3039,WWWHOMLN,W2CIVLIB,W1TRUAM2,WWWAGEC1,EDUCAT4,CENSDIV,W12HISP,WWWEDU3,WWWBRNUS,WWWHISP,W1STATE,WWWEDU5,W2SECURE,W12RACE4,WWWRACE4,AGE6064M,RAC3,NEWRACE,WWWRACE3,WWWAGE,IMPHISP,COMPLET2,RACES,W12OTHET,W2MISSCL,USAWT2RC,USAWT1RV,RACWT1RV,MULT2,RHWT2RC,RHWT2CC,USAWT2CC,USAWT2NC,W3IWER4_A
124,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.33333333333333326,1.0,-0.3548387096774195,-1.0,1.0,-1.0,-1,-0.38181818181818183,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,-0.46666666666666656,0.2796165332134928,-1.0,0.6000000000000001,1.0,-1.0,-1.0,-0.7410428872007774,-0.8567919994279316,-1.0,-1.0,-1.0,-1.0,-1.0,0
313,-1,1,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6,0.0,1.0,0.9999999999999998,-1.0,1.0,1.0,-1,-0.8181818181818182,0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.30666666666666664,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8636968181841901,-0.8904971411134509,-1.0,-1.0,-1.0,-1.0,-1.0,0
392,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1428571428571429,-1,-1.0,1.0,-1.0,1.0,-1.0,0.20000000000000018,-1.0,-0.9999999999999999,0.41935483870967727,1.0,-1.0,1.0,1,0.709090909090909,-1.0,-1.0,0.3333333333333335,0.3333333333333335,-1.0,-1.0,-1.0,-1,-0.8666666666666666,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9515197023237542,-0.9610520376376815,-1.0,-1.0,-1.0,-1.0,-1.0,0
141,-1,1,1.0,1.0000000000000002,1.0,-1.0,-0.1428571428571429,1.0,0.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.09090909090909105,-1.0,0.0,0.3333333333333335,-0.3548387096774195,-1.0,0.0,-1.0,-1,-0.09090909090909094,0.0,0.09090909090909105,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.3866666666666665,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9988817612788137,-0.9988817612788331,-0.9988760969206543,0
5,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7142857142857141,-1,-1.0,1.0,-1.0,-1.0,-1.0,-0.6,-0.6666666666666666,-0.33333333333333326,0.9999999999999998,-1.0,0.0,1.0,-1,0.8909090909090909,-0.5,-1.0,1.0,1.0,-1.0,1.0,1.0,1,-0.8133333333333332,0.2796165332134928,-1.0,1.0000000000000004,1.0,-1.0,-1.0,-0.02182318149776119,-0.4590504007810583,0.0,-1.0,-1.0,-1.0,-1.0,0
288,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.9999999999999999,-1,-1.0,1.0,-1.0,-1.0,-1.0,-0.19999999999999996,-1.0,0.3333333333333335,-1.0,-1.0,0.0,-1.0,-1,-0.12727272727272732,0.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1,-0.9733333333333333,0.2796165332134928,-1.0,0.6000000000000001,1.0,-1.0,-1.0,-0.8051939212258582,-0.8922686898267222,-1.0,-1.0,-1.0,-1.0,-1.0,0
508,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-0.1428571428571429,1,-1.0,1.0,-1.0,-1.0,-1.0,0.6000000000000001,-1.0,0.3333333333333335,-0.3548387096774195,-1.0,0.0,1.0,-1,-0.4181818181818182,0.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.8933333333333333,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9901614491949993,-0.9830761023752579,-1.0,-1.0,-1.0,-1.0,-1.0,0
512,1,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,0.1428571428571428,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.0,0.3333333333333335,-0.3548387096774195,-1.0,0.0,1.0,-1,0.38181818181818183,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.2799999999999998,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8497586372208167,-0.8792995253072553,-1.0,-1.0,-1.0,-1.0,-1.0,0
376,1,-1,-1.0,0.2727272727272727,-1.0,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,1.0,-0.4545454545454545,-1.0,-0.33333333333333326,-0.9999999999999999,0.9999999999999998,1.0,-1.0,-1.0,1,-0.8181818181818182,-1.0,-0.09090909090909083,0.3333333333333335,0.3333333333333335,-1.0,-1.0,-1.0,-1,-0.46666666666666656,-1.0,-1.0,-0.9999999999999999,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,-1.0,-1.0,-0.16712848574033368,-0.6410952434253678,-0.6486216178436887,0
15,1,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,0.0,1.0,0.41935483870967727,-1.0,1.0,1.0,-1,0.709090909090909,0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.19999999999999996,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9186391408837971,-0.9346365465869084,-1.0,-1.0,-1.0,-1.0,-1.0,0
