,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,W3IWER4_A
368,-0.26532463102232046,0.19392392257647198,-0.13748227549887926,-0.4732332750304277,0.09861922465447118,-0.00028962706978110595,-0.018696343060828405,0.01118308654596568,0.0029990125224242103,0
19,-0.24386805111931914,-0.37936101024467384,-0.8542994084521184,0.8647132900320271,0.0458597138087731,-0.008703939425788917,0.005015526841303118,-0.001846297213483477,-0.0026124249048333167,0
377,2.1707317877858294,-1.758876169456031,0.3493231243173071,0.04819656097883839,-0.015226289526707923,0.01021749062412403,0.0007811180818725358,-0.00014208965627570387,0.001075952337887308,0
359,-0.9862218740530838,-0.08538271766624267,0.6258742273622363,-0.3069846690957516,-0.06149637808348216,-0.011918757284743847,0.008758046193954854,-0.006960167256150477,-0.0015858906831812084,0
354,-0.9847875506737801,-0.09717513223390634,0.5642995295959844,-0.2682772747060855,-0.04460103000368236,-0.010830639866915289,0.010326219248702018,0.01406275913124445,-0.0012982633516207764,0
302,-0.47720851510265605,0.09244452870130496,-0.07653240042643543,-0.3251735615039676,-0.08033678410080664,0.04068521943539404,-0.0004462983904535374,0.0023575886610524258,0.0024947247981240155,0
73,-0.19050220832346523,-0.15846418462725734,-0.747205051198983,0.4398863478164589,0.021379446813665156,-0.003560293781652589,-0.0068647860061541825,-0.00019468113256310848,-0.0014830941453421432,0
409,2.4357290405296874,-2.0785683739191487,0.5050980072200553,0.1550008198946044,-0.02685710152056858,0.015950939354707743,-0.0013120979057760112,-0.0010453484554030098,0.0012985966153405198,0
343,-0.5867986712125378,0.048916042676386225,0.2665941227962431,-0.4004374348719219,0.1171320171413757,0.0011825052440464705,-0.02012339528407322,0.008993628152823474,0.002757658356151813,0
42,-0.848105408917577,-0.1299399582944114,0.3883627700427351,-0.16298257444748881,0.016937899923014265,0.045102636787748916,-0.009007201819972433,0.00836607602558506,0.0031715874886694578,0
346,-0.19605468883211807,0.24363260960408456,-0.4625679342416901,-0.381354590625219,-0.08163855180692658,-0.0015083420514058982,-0.013876777513248045,0.010867278697004013,0.002446543855654407,0
447,0.6812176828146,0.04105658142143724,-0.5244433535280317,-0.5454861893618581,0.04455229643382881,-0.026649579662221038,0.007163418761877028,-0.0029625763242288722,0.0012162323416567682,0
7,-0.9224797564068372,0.0038976486263226535,0.5692587217792435,-0.41604075333365564,-0.06233218006933586,-0.0006443333676394037,-0.012004355257852494,-0.0022811443799533406,0.0012841562152467142,0
48,-1.1437760913572053,-0.4369863565687331,0.5323358865982961,0.36158350450649684,-0.008335233753517843,-0.00485603023751563,0.0002892128421946675,-0.005339217366333375,-0.00047720755194179175,0
71,-0.6673671130479526,-0.029262060784494403,0.1562920143647995,-0.19232424734249506,0.011709105492134988,0.0010116153668479149,-0.017038038277535313,0.007821219941276469,0.0021042598330209415,0
455,2.5201825186394626,-2.1755207954050806,0.5539717471383816,0.18191902037933885,-0.03045317600076165,0.01047694894173183,-0.0028365862297906855,0.00377842962156848,-0.0010325283300349538,0
339,-0.8210171715973317,-0.04218833041810495,0.3915843882545366,-0.29843379054737845,-0.06780734460978957,-0.02108349942996319,0.025524633451331335,0.0028851803725596682,0.00036820154895337377,0
72,-0.33427449657766556,-0.10562512087433018,-0.5187597261424743,0.24810549742792914,-0.05011826648275041,-0.008938786970468522,0.003641062144783688,-0.0021628642540637353,-0.0018001307145695505,0
385,2.039078111299593,-1.5970683521323428,0.27209270060895846,-0.006170776033712616,-0.010930176324416643,0.0028959855024073555,-2.7615967069128914e-05,0.0003897606455531887,0.00029184901903295615,0
379,2.434261043460183,-2.072031923587239,0.5038298377810883,0.1491559016374744,-0.027526019174324762,0.008832078182100932,-0.002850674191269123,0.002267774635480433,-0.0006013541185361142,0
82,-0.31380990690618626,-0.2696094343002661,-0.7136990412714443,0.6214778373735441,-0.02746375740795045,-0.008836825270601251,0.005123400427484202,-0.0023390039226383603,-0.002392365790210477,0
280,-0.35477417946458334,0.08724016633613901,-0.08985290387838958,-0.3082143396133415,0.112897607435602,0.000194928094619552,-0.01856052264311718,0.010453041347604405,0.0026991662518640485,0
318,-0.848105408917577,-0.1299399582944114,0.3883627700427351,-0.16298257444748881,0.016937899923014265,0.045102636787748916,-0.009007201819972433,0.00836607602558506,0.0031715874886694578,0
24,-0.10524466640165114,0.18437116086135538,-0.6869319215689007,-0.2036750556898011,-0.06883886149299882,-0.011589694585033977,0.010362374354032736,0.02968826445098427,-0.0015835594327770729,0
