,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,W3IWER4_A
4156,5.3729794835950315,-1.910785519141386,0.641939095034435,-0.4832744034375578,0.593564385159859,0.017687570030936475,0.14506788710086682,0.26481171066724213,-0.2046388067054173,0.1716907141908534,1
445,-0.8977787443318388,-0.6626713661978021,0.37566589482303253,1.0483824004570377,1.10723206257502,-0.24923010546927574,0.31322051320024163,0.4200467325243667,0.5677301641180151,0.6994509788430036,1
191,-0.6954981319361613,-0.8504455144657485,-0.3306127038667598,-0.6175538871326907,-0.7666672845475979,-0.514878126201571,-0.7453081131301592,-0.17129529659073328,0.08277565342285327,0.1923387449950387,1
404,-0.9955496707460797,-0.9757262419740381,-0.21870307960279975,-0.4404430452908737,-0.5969268255506012,-0.6833341403758595,-0.670145467783161,-0.5558848206841631,-0.12292476902932334,0.03654554707255913,1
905,-1.209379760600041,-1.1237858212270664,-0.7318791604254774,0.41437297472573786,0.9210494272624468,0.585446901541231,-0.3636236210513393,0.24787221614043214,-0.8941994584698426,0.7789842237956036,1
410,-0.7323070398270675,-0.8628342688006037,-0.26622603220663077,-0.7167587451043056,-0.4440986547688458,0.15810494717618107,-0.23484689183731078,-0.29920502774047664,0.17088209079110225,0.5529563367399332,1
4134,1.7038128355627373,0.6309684813015438,-0.7069902795776838,0.43378758284864144,-0.7656964862995308,0.047779899947985933,-0.11316273091636044,-0.31863788161292655,0.13320197329973352,-0.30083120703170363,1
1324,-1.2124513448887706,-0.5949710877272523,-1.098316754088987,-0.005735775848056717,0.6537663074713246,-0.23744133333375134,0.07182191463155255,0.8572536373279621,-0.30833998635331966,-0.0830744343078224,1
4216,4.327897374381899,-1.0910891496408281,0.20321960012581172,-0.07381590966206461,0.32123191041322663,-0.04696942225750049,0.36819864547242853,0.194399444286701,-0.07012498518903837,-0.01401103847342228,1
4014,3.894454940395599,-0.9352583756938997,0.07797919541391216,0.004964321044103894,0.04739221134875161,-0.039159533691426274,0.2580874855448659,0.0803802314882531,-0.005540117895472406,-0.038271466267012166,1
1462,-0.6159101578400613,-0.40551290163133374,-0.30778563948607424,-0.7486695372091596,-1.0328168130256798,-0.3442494495182101,-0.16987178890178978,0.24494709030437142,0.18599645421266423,0.03271434827497255,1
3740,-0.7946311737598617,-0.3175461677201198,-1.1740101314683906,0.2153388116552923,-0.005805528589654739,-0.709684367732454,-0.41101505210482386,0.0015876651973196795,0.06573674256513255,0.09975252253382486,1
3593,-1.0713094417893458,-1.2777801068111778,-0.3164934055290966,-0.49307950202170064,-0.32400454531499145,-0.9412345384047212,-0.7056437565459067,-0.5946154191203961,-0.36561791997739146,0.1260634574895508,1
3545,-0.7555495244492985,-0.6432470039058299,0.4402763863506181,-0.31405286895495477,-0.3440840724463785,-0.8746655754336312,0.024103786109990238,0.17743407641373937,0.4979076762181218,0.17590060867235288,1
4400,1.5776799978816225,0.7507353234940336,-0.6924642853166816,0.7295296726020777,-0.7096006294677888,-0.01610159779063736,0.5741609014484846,-0.15984935846061396,0.13376880020498177,-0.24346203461919153,1
4263,1.0700798714396547,1.0487993919475298,-0.6781957301644009,0.7651780207334415,-0.9086483105516564,0.038936234018612056,0.7283502413490268,-0.19868628837650607,0.12187652671676291,-0.16798049016718683,1
3503,-0.7953907040299875,-0.8342858420664373,-0.018193984065920394,-0.6761794349777234,-0.055332905161861706,-1.0039058369215978,-0.36278127412585454,-0.06959866403805336,0.5934933317027681,0.07754097243499401,1
4025,4.146965620300803,-1.032768020989109,0.06270290179610037,-0.20795766855785872,0.14662158746290194,-0.016660432411509486,-0.17665712250291302,0.0274917895145075,0.00508767262722972,-0.14051287709822183,1
1371,-0.6573783042558166,-0.09488747836898531,0.018268255031687393,0.9588736706743007,0.0011314518155893557,-0.9392200145191971,0.24812991484965533,0.43673081102154315,0.15591654097934568,0.2413787323410423,1
4119,2.0838040193442873,0.29578240991451943,-0.32065365105503896,0.5687019803263814,-0.5439463656882025,-0.022844737304766435,0.6863628307588597,-0.08644254050484383,0.06908611148870664,-0.0632476881045735,1
261,-0.7380960074800095,-0.9930181827935072,0.6934005758608187,-0.28203583868794485,0.10331113332521902,-0.17109784972812248,-0.5900224654860466,0.8747569490520523,0.6077185887149781,-0.057168738045310946,1
