,COUNTY,P17_A,W1AGE,WWWBLACK,W1STATE,STRATA,F3,CD2,P1,X1,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
2995,-0.14658371534599446,-0.1428571428571428,0.8484848484848486,1,-0.1636363636363637,0.0,-0.33333333333333326,-0.7878787878787878,-1.0,-0.9183673469387755,1,0,0,0,1,0,0
411,-0.8186713235829151,-0.1428571428571428,0.8181818181818183,1,-0.8181818181818182,0.0,-0.33333333333333326,-0.8181818181818182,-1.0,-0.9183673469387755,0,0,0,0,1,0,0
2878,-0.16393800480244503,-0.9999999999999999,0.7272727272727275,-1,-0.1636363636363637,0.0,0.3333333333333335,-0.6666666666666667,-1.0,-0.9387755102040817,0,0,0,1,1,0,0
3264,0.2735938295859708,-0.9999999999999999,-0.09090909090909083,-1,0.2727272727272727,1.0,-0.33333333333333326,0.1515151515151516,-0.5,-0.9183673469387755,0,0,0,1,1,0,0
2071,0.49072254966164564,-0.1428571428571428,-0.5151515151515151,-1,0.49090909090909074,1.0,1.0,0.5151515151515151,-1.0,-0.9795918367346939,1,0,0,1,0,0,0
680,0.9665284144655457,-0.1428571428571428,-0.15151515151515138,-1,0.9636363636363636,1.0,-0.33333333333333326,0.1515151515151516,-1.0,-0.9591836734693877,0,0,0,1,1,0,0
865,0.01942807247325895,-0.9999999999999999,0.030303030303030498,-1,0.018181818181818077,1.0,1.0,-0.030303030303030276,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
444,-0.16393800480244503,0.7142857142857144,-0.6969696969696968,-1,-0.1636363636363637,0.0,-0.9999999999999999,0.6969696969696968,-1.0,-0.9387755102040817,0,0,1,1,0,0,0
211,0.7258240558829947,-0.9999999999999999,-0.33333333333333326,-1,0.709090909090909,-1.0,0.3333333333333335,0.33333333333333326,-1.0,-0.9795918367346939,0,0,1,1,0,0,0
569,0.9663828858327874,-0.9999999999999999,-0.6666666666666665,-1,0.9636363636363636,1.0,-0.33333333333333326,0.6666666666666665,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
1243,-0.5974678017900024,-0.1428571428571428,-0.48484848484848464,-1,-0.6000000000000001,1.0,0.3333333333333335,0.48484848484848486,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
780,0.6781634286545877,0.7142857142857144,-0.09090909090909083,-1,0.6727272727272726,1.0,-0.9999999999999999,0.09090909090909083,-1.0,-0.9591836734693877,0,0,1,1,1,0,0
779,0.6755439132649346,-0.9999999999999999,-0.7878787878787877,-1,0.6727272727272726,1.0,0.3333333333333335,0.7878787878787881,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
2076,0.7131630648330056,-0.9999999999999999,0.1515151515151516,-1,0.709090909090909,-1.0,1.0,-0.09090909090909083,-1.0,-0.9183673469387755,1,0,0,1,0,0,0
1744,-0.054209415702539676,0.7142857142857144,2.220446049250313e-16,-1,-0.054545454545454564,1.0,1.0,0.06060606060606055,-1.0,-0.9591836734693877,1,0,0,1,0,0,0
144,0.7158553445390379,-0.9999999999999999,0.6060606060606064,-1,0.709090909090909,-1.0,0.3333333333333335,-0.6060606060606061,0.0,-0.9591836734693877,0,0,1,1,1,1,1
898,-0.23604744233427943,-0.1428571428571428,-0.1212121212121211,-1,-0.23636363636363644,1.0,-0.33333333333333326,0.1212121212121211,-1.0,-0.9591836734693877,0,0,0,1,1,0,0
1429,0.3133959106454194,0.7142857142857144,-0.18181818181818166,1,0.3090909090909091,1.0,-0.9999999999999999,0.18181818181818188,-1.0,-0.9591836734693877,0,0,0,0,1,0,0
