,COUNTY,WWWRACE4,WWWAGEC1,W1STATE,HISWT1RV,STRATA,CENSDIV,CL2,WWWEDU3,RHWT2CC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
185,0.7158553445390379,-0.9999999999999999,0.9999999999999998,0.709090909090909,-0.9902092099102684,-1.0,0.41935483870967727,-0.9999999999999999,0.0,-0.998711822553119,0,0,1,1,0,1,1
2782,-0.9992723568362076,-0.33333333333333326,0.33333333333333326,-1.0,-1.0,0.0,0.35483870967741926,-0.9999999999999999,0.0,-0.946391397958338,0,0,1,1,0,1,1
449,0.19915593393000064,-0.33333333333333326,0.33333333333333326,0.19999999999999996,-0.96049265501929,0.0,-0.935483870967742,-0.9999999999999999,-1.0,-1.0,0,0,1,1,1,1,1
1198,0.27519464454631426,-0.9999999999999999,0.0,0.2727272727272727,0.12036867478436819,1.0,-0.935483870967742,0.1428571428571428,0.0,-1.0,0,0,0,1,0,1,1
1356,0.4221785636323945,-0.33333333333333326,-0.33333333333333326,0.4181818181818182,-0.5510665254540424,1.0,0.41935483870967727,0.1428571428571428,1.0,-0.7018636903382063,0,0,0,0,0,1,1
399,0.2743942370661425,-0.9999999999999999,0.9999999999999998,0.2727272727272727,-0.9788207019911608,0.0,-0.935483870967742,-0.9999999999999999,-1.0,-1.0,0,0,1,1,1,1,1
3168,0.7138179436804188,-0.9999999999999999,0.33333333333333326,0.709090909090909,-1.0,1.0,0.41935483870967727,0.1428571428571428,0.0,-0.8935381267363065,1,0,1,1,0,1,1
1781,0.48984937786509475,-0.9999999999999999,0.9999999999999998,0.49090909090909074,-1.0,1.0,-0.935483870967742,0.1428571428571428,0.0,-0.641087004476091,0,0,0,1,0,1,1
2995,-0.14658371534599446,-0.33333333333333326,0.9999999999999998,-0.1636363636363637,-1.0,0.0,0.29032258064516125,-0.9999999999999999,0.0,-0.8874588723981688,1,0,1,1,0,1,1
411,-0.8186713235829151,-0.33333333333333326,0.9999999999999998,-0.8181818181818182,-0.9352506398348124,0.0,0.9999999999999998,-0.9999999999999999,0.0,-1.0,0,0,1,1,0,1,1
2878,-0.16393800480244503,-0.9999999999999999,0.9999999999999998,-0.1636363636363637,-1.0,0.0,0.29032258064516125,-0.9999999999999999,0.0,-0.9976724580491249,0,0,1,1,0,1,1
3264,0.2735938295859708,-0.9999999999999999,0.33333333333333326,0.2727272727272727,-1.0,1.0,-0.935483870967742,0.1428571428571428,0.0,-0.7595712843600837,0,0,1,1,0,1,1
2071,0.49072254966164564,-0.9999999999999999,-0.33333333333333326,0.49090909090909074,-0.47395428283587204,1.0,-0.935483870967742,1.0,1.0,-0.9095047171728597,1,0,0,1,0,0,0
680,0.9665284144655457,-0.9999999999999999,0.0,0.9636363636363636,-0.40699369616099057,1.0,-0.3548387096774195,0.1428571428571428,0.0,-1.0,0,0,1,1,0,1,1
865,0.01942807247325895,-0.9999999999999999,0.33333333333333326,0.018181818181818077,-0.7319675615957726,1.0,-0.29032258064516125,-0.9999999999999999,1.0,-0.9619988038583652,0,0,1,0,0,1,1
