,W2TOTCL,W2FIPCOM,W2CIVLIB,CENSDIV,W12AGEC1,WWWAGE,W1STATE,W1AGE,AGE3039,COMPLET2,WWWSEX,CENSREGN,RACWT1RV,WWWMALE,W1FIPCOM,W2SECURE,WWWAGEC1,W12OTHET,EDUCAT4,WWWEDU3,W1TRUAM3,IMPHISP,USAWT2CC,W12BLACK,WWWHISP,RAC3,WWWEDU5,AGE65PLM,WWWBRNUS,W12EDUC3,USAWT1RV,RACES,W1AGECAT,WWWWHITE,WWWBLACK,W12RACE4,WWWRACE3,NEWRACE,W12SEX,W1TRUAM2,USAWT2RC,AGE4049M,MULT3,WWWRACE4,AGE6064M,RHWT2RC,IMPRACE,HISWT1RV,W2MISSCL,COMPLET3,W12HISP,RHWT2CC,WWWHOMLN,USAWT2NC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1147,1.0000000000000002,0.1428571428571428,-0.2727272727272727,-0.935483870967742,0.9999999999999998,0.706666666666667,0.19999999999999996,0.706666666666667,-1.0,-1.0,1,-0.9999999999999999,-0.9697178878647092,-1,-0.1428571428571429,0.4545454545454546,0.9999999999999998,-1.0,1.0,1.0,1.0,0.1428571428571428,-0.9715907119698496,-1.0,-1,-1.0,0.5,1.0,1.0,1.0,-0.9351610525172983,-0.9999999999999999,0.9999999999999998,1,-1,-0.9999999999999999,-1,-1.0,1.0,1.0,-0.9292792390524015,-1.0,1.0,-0.9999999999999999,-1.0,-0.9292792390524129,-1.0,-0.9351610525172436,-0.8181818181818181,-1.0,-1.0,-0.9842968085762243,-1.0,-1.0,0,0,1,1,1,1,1
267,1.0000000000000002,0.4285714285714285,-0.6363636363636362,-0.935483870967742,-0.33333333333333326,-0.4933333333333333,0.49090909090909074,-0.4933333333333333,1.0,-1.0,1,-0.9999999999999999,-0.9930787900556016,-1,-0.1428571428571429,0.8181818181818183,-0.33333333333333326,-1.0,1.0,1.0,-0.5,0.1428571428571428,-0.9956687220719531,1.0,-1,0.0,1.0,-1.0,1.0,1.0,-0.9930787900556668,-0.5999999999999999,-0.33333333333333326,-1,1,-0.33333333333333326,0,0.0,1.0,-0.19999999999999996,-0.9860189996332027,-1.0,1.0,-0.33333333333333326,-1.0,-0.9732639763709796,0.0,-0.9930787900556793,-0.8181818181818181,-1.0,-1.0,-0.9945653454128173,1.0,-1.0,0,0,0,1,1,0,1
2243,1.0000000000000002,-0.1428571428571429,0.2727272727272727,0.41935483870967727,0.6666666666666667,0.20000000000000018,0.709090909090909,0.20000000000000018,-1.0,-1.0,1,0.3333333333333335,-1.0,-1,-1.0,-0.09090909090909083,0.6666666666666667,-1.0,0.3333333333333335,0.0,-1.0,-0.9999999999999999,-0.9989806380588245,-1.0,1,-1.0,0.0,-1.0,1.0,0.0,-1.0,-0.9999999999999999,0.6666666666666667,-1,-1,0.3333333333333335,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.3333333333333335,1.0,-1.0,-1.0,-1.0,-0.8181818181818181,-1.0,1.0,-0.998692460600181,1.0,-0.9992710264919236,1,0,0,1,1,0,1
936,1.0000000000000002,0.4285714285714285,0.6363636363636365,0.35483870967741926,0.33333333333333326,0.01333333333333342,-0.0181818181818183,0.01333333333333342,-1.0,-1.0,-1,0.3333333333333335,-0.8466300456444972,1,-0.1428571428571429,-0.4545454545454545,0.33333333333333326,-1.0,-0.9999999999999999,-1.0,1.0,0.1428571428571428,-0.8287363001030883,-1.0,-1,-1.0,-1.0,-1.0,1.0,-1.0,-0.671609880729964,-0.9999999999999999,0.33333333333333326,1,-1,-0.9999999999999999,-1,-1.0,-1.0,1.0,-0.5723211758812619,-1.0,1.0,-0.9999999999999999,-1.0,-0.5723211758813973,-1.0,-0.6716098807299828,-0.8181818181818181,-1.0,-1.0,-0.9053342463010868,-1.0,-1.0,0,0,1,1,0,1,1
1528,0.8181818181818183,-0.1428571428571429,0.6363636363636365,-0.29032258064516125,0.0,-0.22666666666666657,0.018181818181818077,-0.22666666666666657,-1.0,-1.0,-1,-0.33333333333333326,-1.0,1,-1.0,-0.6363636363636362,0.0,1.0,-0.33333333333333326,0.0,-1.0,0.1428571428571428,-0.9367968739626669,-1.0,-1,1.0,-0.5,-1.0,1.0,-1.0,-1.0,1.0000000000000004,0.0,-1,-1,1.0,1,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.6363636363636362,-1.0,-1.0,-0.9650645667117215,-1.0,-0.9534155522341333,1,0,1,1,0,1,0
1454,1.0000000000000002,0.9999999999999999,0.6363636363636365,-0.3548387096774195,-1.0,-0.9733333333333333,0.9636363636363636,-0.9733333333333333,-1.0,-1.0,1,-0.33333333333333326,-0.7566174312344276,-1,0.9999999999999999,-0.4545454545454545,-1.0,-1.0,0.3333333333333335,0.0,-0.5,0.1428571428571428,-0.8322313388466887,-1.0,-1,-1.0,0.0,-1.0,1.0,0.0,-0.4788781732313848,-0.9999999999999999,-1.0,1,-1,-0.9999999999999999,-1,-1.0,1.0,-0.19999999999999996,-0.5789268020507587,-1.0,1.0,-0.9999999999999999,-1.0,-0.578926802050491,-1.0,-0.4788781732314552,-0.8181818181818181,-1.0,-1.0,-0.9072661237337023,-1.0,-1.0,1,0,1,1,0,0,0
1196,-1.0,-1.0,-1.0,-0.935483870967742,0.9999999999999998,0.44000000000000017,0.49090909090909074,0.44000000000000017,-1.0,-1.0,1,-0.9999999999999999,-0.7156857575110671,-1,-0.1428571428571429,-1.0,0.9999999999999998,-1.0,-0.33333333333333326,0.0,0.0,0.1428571428571428,-1.0,-1.0,-1,-1.0,-0.5,1.0,1.0,-1.0,-0.39123677519873035,-0.9999999999999999,0.9999999999999998,1,-1,-0.9999999999999999,-1,-1.0,1.0,0.20000000000000018,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.3912367751987228,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0
419,-1.0,-1.0,-1.0,0.9999999999999998,0.9999999999999998,0.4666666666666668,-0.8181818181818182,0.4666666666666668,-1.0,-1.0,1,1.0,-0.9900798352105136,-1,-0.1428571428571429,-1.0,0.9999999999999998,-1.0,1.0,1.0,0.0,0.1428571428571428,-1.0,1.0,-1,0.0,1.0,1.0,1.0,1.0,-0.9900798352104655,-0.5999999999999999,0.9999999999999998,-1,1,-0.33333333333333326,0,0.0,1.0,0.20000000000000018,-1.0,-1.0,1.0,-0.33333333333333326,-1.0,-1.0,0.0,-0.9900798352105458,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0
1826,1.0000000000000002,0.9999999999999999,0.2727272727272727,0.29032258064516125,0.33333333333333326,-0.1466666666666665,0.8181818181818181,-0.1466666666666665,-1.0,-1.0,1,0.3333333333333335,-1.0,-1,-1.0,-0.09090909090909083,0.33333333333333326,-1.0,0.3333333333333335,0.0,-1.0,0.1428571428571428,-0.8686213077162005,-1.0,-1,-1.0,0.0,-1.0,1.0,0.0,-1.0,-0.9999999999999999,0.33333333333333326,1,-1,-0.9999999999999999,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-0.8181818181818181,-1.0,-1.0,-0.9273806245426275,-1.0,-0.8693251221391525,0,0,1,1,0,1,1
3202,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9354838709677418,-0.33333333333333326,-0.6533333333333332,-0.7454545454545455,-0.6533333333333332,1.0,-1.0,-1,1.0,-1.0,1,-1.0,-0.8181818181818181,-0.33333333333333326,-1.0,1.0,1.0,-1.0,0.1428571428571428,-0.9504322450156445,-1.0,-1,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999999,-0.33333333333333326,1,-1,-0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-0.8181818181818181,-1.0,-1.0,-0.9726014976461526,-1.0,-0.9506563212840324,0,0,1,1,0,1,1
