,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,W3IWER4_A
76,-1.0082744519200846,-0.1571324676711362,0.6697581594963923,-0.006890834207714965,-0.003971797447215553,0.004491537628918508,0.006825422433237516,-0.006023769600532081,0.0021769500692112114,0
311,2.819664250304836,-2.0420724739321696,0.43019772680045665,0.018044296797818826,0.002211054758210937,-0.0012401540946233808,0.00039215244529531277,-0.0006916840828080534,0.00012520372154555833,0
27,-0.6191031435175055,-0.050450134928627405,-0.0876117819527429,-0.00419850559619948,0.008752671955264982,-0.004370291965020059,-0.001863438525242831,-0.0010046120186080157,-0.0001774898545727655,0
10,-0.407946152274334,0.01533017681867243,-0.47387880155472845,0.008218095081245061,0.008133776500925768,0.004390123185015006,-0.0035478186578056813,0.0022808080285759216,-0.00019667087708436022,0
270,-0.3987536061828291,0.02288963632368942,-0.5110791112270892,0.010111540518223855,-0.0027490648962539494,0.006130780049745007,0.004601315192663796,-0.004152728103620783,0.0013344114877253135,0
33,-1.0024760069498961,-0.158488571352539,0.7169868194194703,0.03809308975728507,-0.008376885319952603,0.0035500165718447808,0.002208231362704559,-0.001673045389817278,-0.001059786601806613,0
230,-1.0434193709217536,-0.16981241680728695,0.7284873294983825,-0.010494698216916683,0.008553228645095313,0.0036191929882526917,-0.0011255005189438447,-0.00404980790859882,-0.0007071910959698911,0
0,-0.6566759868318542,-0.06474600073203335,-0.01957079099022176,-0.03074605759343149,0.009761331332262141,-0.0037564691865699077,9.753414539979392e-05,0.0018970323244879407,0.0011708534690084958,0
200,-0.4079461522743338,0.015330176818672516,-0.4738788015547284,0.008218095081244815,0.00813377650092593,0.0043901231850152845,-0.0035478186578056835,0.0022808080285756085,-0.00019667087708421385,0
44,-0.7779626019707736,-0.10183317726406743,0.24405356843894757,-0.011872052205650106,-0.0024898623438535214,-0.00903993775379014,-0.0020303322806403193,0.00032396453662958776,2.4170441428963316e-05,0
283,0.5335945683140892,-0.4600127916929255,-0.5532058441504621,-0.04105366879790117,-0.0056985079383148176,0.0023410390963473212,-0.0011689374351545726,0.0013700829172172504,-0.0003185225504384143,0
264,-1.0121094182872394,-0.16872895970768212,0.6602980838157118,-0.03380962346603494,0.012569107972351314,-0.001814491390287439,-0.0014203029039066004,-0.0026811859893673884,-0.0008512608158017848,0
