,W3IWER4_A
1252,0
1399,0
160,0
2823,1
326,0
762,0
122,0
3232,0
1096,1
1579,1
2031,0
296,0
1534,1
1069,0
2079,1
2537,0
1663,0
1350,0
1313,0
3018,1
574,1
1254,0
663,0
847,0
1117,0
1893,1
2930,1
1014,1
3238,1
1182,1
244,0
1910,0
1609,0
958,0
1786,1
2264,0
2044,0
1298,0
548,0
1565,0
3240,0
1762,0
2343,1
54,0
898,0
233,0
2848,1
211,0
1695,0
309,0
48,0
2807,0
1622,0
2693,1
1053,1
2424,1
690,1
1552,1
839,0
192,0
2017,0
1275,0
1022,0
573,1
1305,1
237,0
444,0
1610,1
2771,1
472,0
1198,0
1356,0
890,1
1103,1
1812,0
1119,0
3114,0
726,0
1763,0
1023,1
974,1
334,0
1710,1
1860,1
656,0
2371,1
642,0
1627,0
449,0
1422,0
2071,1
885,0
1328,0
302,0
749,1
2000,0
532,0
588,1
2003,0
1793,0
2064,0
2090,0
1474,0
348,1
1056,1
1075,0
2903,0
1357,0
321,0
696,0
3265,0
1419,1
1267,0
168,0
1985,0
1098,0
1826,0
34,0
2871,0
2243,1
659,0
1520,0
2830,0
680,0
2341,0
415,0
1413,0
1216,0
169,1
1091,0
3214,1
1143,1
2800,1
66,0
327,0
1371,0
1705,1
1342,0
1153,0
1494,0
1104,0
274,0
1314,1
968,1
2703,1
830,1
1530,0
1379,0
3086,1
626,1
447,0
1134,0
1569,1
1485,0
1167,0
939,0
878,0
1881,0
1203,0
917,1
2317,1
1081,0
702,0
1509,1
1635,0
553,1
920,1
1887,0
1835,0
1990,0
816,0
1250,0
782,1
176,0
215,0
172,1
1280,1
1702,1
371,0
2777,0
955,0
187,0
1115,1
124,1
888,1
1953,0
1428,0
581,0
1064,0
2351,1
1834,0
81,1
455,0
3279,0
1256,0
264,0
2479,0
1149,1
1169,0
1967,0
2813,0
3095,0
2455,1
1722,1
119,0
3288,1
3104,0
2954,0
1956,0
1922,1
1262,0
2070,1
1642,1
