,UMAP_1,UMAP_2
2780,10.5525875,-3.5615077
210,19.118475,9.7715
3218,-10.276459,8.477634
1348,2.383212,8.009763
1124,2.6394858,8.701597
2419,19.786053,8.910802
1175,2.3739357,11.224342
1692,4.6242304,13.940684
1020,-2.7310557,6.5853953
1238,7.8618255,13.489373
833,2.6767962,10.54498
642,-9.341696,8.063812
1323,2.7837293,10.451692
353,9.2584,-2.842478
2418,19.682646,8.958405
2283,19.44031,9.727199
1247,-3.0315006,7.2425494
797,1.9524959,11.604511
1600,0.9592005,16.09347
1000,-2.91564,7.094136
1894,0.9907587,16.264687
2021,9.315287,-3.6563032
1779,-3.448652,6.609012
1968,10.475459,-3.507369
3121,7.951623,14.623216
1017,-3.0477571,0.87712157
344,8.710638,-2.3568964
1586,-3.7056856,6.529737
2096,-9.691006,8.044361
2354,19.681236,8.99386
1932,1.175146,15.398942
932,-9.872478,7.6569424
968,-9.433652,7.631634
3234,-10.329255,8.43646
431,7.992695,-1.533629
1764,7.980019,14.52347
2902,9.195046,-3.555723
891,4.2588983,13.883166
2055,4.5332494,13.938914
2056,10.671357,-2.843695
2199,18.26269,9.488164
1635,-3.413703,0.7755397
2961,10.444054,-3.5641887
1179,-2.9894469,7.0306644
660,9.314475,-1.813006
324,8.274593,-0.7585882
2339,19.423868,9.878321
508,8.883691,-3.0972602
1973,10.02386,-3.0920327
2032,10.068416,-3.557638
868,1.6914909,11.744104
1753,-3.7066877,6.5456324
2803,10.002969,-3.0716681
3168,7.7557526,14.320307
1677,1.0583241,16.136942
1778,1.13999,15.363286
545,8.370566,-0.63491964
428,8.392443,-1.9974846
1652,18.710588,9.277524
1070,-9.472148,7.6104975
2050,9.989636,-3.0756044
1851,-10.314297,8.5641
46,2.9029446,10.349288
1040,2.4031525,8.051085
2929,9.48527,-3.702017
893,1.4544514,8.989351
586,6.7903004,13.639767
1768,6.8490324,14.526702
1653,7.44158,15.076694
1515,4.4988194,13.9424715
1590,-2.929566,6.2323713
1815,7.4416366,14.383206
81,7.4643025,13.732346
1896,7.2692304,14.45088
2287,19.183216,10.044021
1459,6.787135,13.659552
1379,8.981879,-1.2611109
1183,1.8678972,11.50255
516,8.578641,-1.4443387
127,19.19559,8.720878
404,7.9598193,-1.5972207
2467,19.777727,8.99044
1552,1.1560966,15.437683
1190,2.6580818,8.795886
1338,-3.3115213,7.010919
387,8.398125,-0.61913663
1935,7.637796,14.384251
1493,18.816664,8.9742985
391,8.909691,-3.092526
803,1.7438473,11.631174
879,2.7515905,8.722436
2070,7.025695,13.861862
734,1.958699,14.828291
1341,8.421649,-0.6282907
1809,-3.2685413,6.42002
1093,1.1537242,8.744434
1362,-9.360116,8.080016
1648,-10.248069,8.571047
2196,-3.5095208,0.5019752
1969,-3.6507325,6.729592
1729,1.8704796,15.596463
161,2.1877024,7.968424
892,1.624665,14.485991
2023,10.632887,-2.658159
989,1.7946522,14.5421295
2718,9.798689,-3.150853
598,-2.9130433,6.9572277
1131,7.40752,13.502772
1330,7.952629,-1.4544716
146,2.634854,8.744171
1417,8.435804,-0.60921305
2154,19.65823,8.958764
2813,9.672362,-3.692806
1121,8.627771,-2.2299235
829,18.781303,8.928869
3267,-3.7928712,6.4558067
1856,-2.888747,6.163114
1691,-10.390702,7.936529
583,1.9338893,11.722749
3157,10.16604,-1.6952399
943,6.844948,13.334957
1660,-3.404927,0.7968915
1952,9.406512,-3.6738608
1101,-9.871222,7.5525875
3217,7.4481277,15.139525
2775,10.552388,-2.7932897
1981,9.972481,-3.1184607
1468,2.2051811,8.0365925
2878,1.0254712,16.31992
2245,19.69202,9.063856
1337,2.1100104,14.959003
2136,-3.1522744,0.31252512
2850,9.386034,-3.7271059
2061,-9.408033,8.176954
124,8.933307,-3.0791798
1862,1.3130188,15.645546
1844,1.1511846,16.222494
1435,9.241333,-2.7659612
59,18.788742,9.560173
728,1.1455992,8.726205
1723,-3.665051,6.3714614
1495,4.411295,14.133207
538,8.36962,-0.6666008
805,0.9807948,16.070316
94,4.3513985,13.782368
1445,8.372569,-0.6543926
2189,19.254656,10.074132
1672,10.146933,-1.7097285
297,8.142542,-2.1389194
2243,18.841465,9.088308
2404,19.414974,9.947863
3095,1.2274079,15.447082
543,9.526632,-2.8157747
274,1.161925,8.613311
1177,8.92839,-1.2179787
1883,-3.8758159,6.4600563
2034,10.516127,-3.455464
635,1.7557007,11.898947
2753,10.003696,-2.5411263
1271,19.615217,8.940762
503,8.994836,-1.2784004
42,1.9373145,11.615769
958,2.319744,10.968593
1963,10.615512,-2.678589
565,7.044642,13.125016
531,9.487255,-2.3138897
246,-2.93941,6.950704
699,9.928337,-1.5279863
3086,4.343577,14.321786
947,1.6392231,14.445146
1943,10.168211,-1.651451
1464,-9.572254,8.152969
415,8.406817,-0.69772875
1262,-3.2435653,6.9920874
2422,19.360771,9.940659
1037,2.9452362,10.249302
1928,7.5192914,15.065571
1697,-3.1442132,0.3196966
1571,-3.4541032,0.45356554
29,19.061117,9.728665
1404,-2.8603315,0.73695445
1849,6.9618616,14.453584
370,9.031997,-3.4018886
1875,-3.0035045,6.043216
1380,7.7226486,13.364169
1573,1.1470342,16.129025
2472,-10.055085,7.5980573
928,1.2195972,8.810043
2313,18.337042,8.95791
306,8.517174,-1.6612495
1501,7.0099583,14.656808
875,2.9039378,10.291796
1931,1.1852111,16.041872
1520,10.3401785,-1.9487779
2111,18.216898,9.503349
991,8.948081,-1.3695899
1567,-10.388692,7.948809
1923,4.59375,13.973004
1411,-2.905828,7.272118
845,7.5087214,13.613806
453,2.3157365,10.898028
626,1.9777803,15.010844
779,-2.7989707,0.54363954
1477,1.038119,8.576138
329,9.541582,-2.351226
2713,10.310038,-3.7038412
2177,-10.286481,7.8902645
1112,2.3253012,10.880785
1632,-3.0208178,6.061933
2214,9.293227,-3.6872358
2976,9.834426,-3.0861402
1994,10.628076,-2.731374
835,1.7845364,11.913857
454,8.329237,-2.3325708
217,7.136281,13.202148
2796,-10.311055,8.61391
1182,2.0387466,15.050307
2260,1.3126079,15.982526
1035,-3.2872736,7.1207814
284,8.185964,-2.0510197
1060,2.1469269,14.765415
658,-9.740873,8.101569
2373,18.364285,8.938165
390,8.680772,-1.4255049
2387,7.9001637,14.562893
2463,19.531225,9.595221
2030,10.46694,-3.4721391
1978,10.642394,-2.641089
655,-3.2948368,6.904537
942,9.857431,-1.4302167
1614,1.3263205,15.606625
2289,18.421074,8.870076
1903,6.8889313,14.563202
1293,1.3205732,8.904821
638,1.8350987,11.435418
1386,8.416056,-1.9202257
3191,19.72128,9.099964
1428,1.1186911,8.670289
1450,1.5261501,14.516946
1140,2.4276109,9.17489
2281,18.863964,9.000965
925,2.2086978,14.737568
326,8.190914,-0.83503383
2988,6.8943253,14.497444
2080,1.7633537,11.519639
1659,-3.3002136,6.172951
1734,-3.0027528,6.00801
35,-3.3886008,6.959447
3124,9.980712,-2.5191762
1046,1.768353,11.740961
1681,7.49923,15.109591
1985,10.524116,-3.585046
489,8.589138,-2.2341683
1834,18.990456,8.870356
2234,19.40892,9.677868
993,2.049463,15.017218
609,6.759048,13.506719
1892,1.8291523,15.53484
1011,2.7987223,8.647909
1138,1.3705721,14.695932
1279,1.509983,14.467484
2083,2.0779011,14.909649
114,19.405424,9.20131
631,6.85842,13.806899
1079,2.4220004,8.128666
1427,4.3395786,13.877065
1736,-10.378142,7.9110017
2288,19.356735,9.972144
1276,7.3985777,13.521581
1447,-2.8353539,0.8215868
2376,19.672277,9.092561
2095,-3.0603042,7.0455694
1509,-3.271221,0.23795483
1772,-10.113921,7.6427517
