,WWWSEX,WWWWHITE,W12EDUC3,AGE65PLM,AGE4049M,WWWBLACK,W1FIPCOM,AGE5059M,W2TOTCL,WWWHOMLN,W2FIPCOM,AGE3039,AGE1829,W1TRUAM2,EDUCAT4,WWWBRNUS,W2CIVLIB,WWWHISP,CENSDIV,WWWEDU3,WWWAGEC1,WWWEDU5,W1STATE,W12RACE4,WWWRACE4,WWWRACE3,NEWRACE,W2SECURE,AGE6064M,WWWAGE,COMPLET2,IMPHISP,RACES,W12OTHET,RACWT1RV,USAWT1RV,RHWT2CC,USAWT2RC,USAWT2CC,USAWT2NC,W2MISSCL,RHWT2RC,MULT2
506,-1,-1,0.0,-1.0,1.0,1,0.4285714285714285,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.6000000000000001,0.3333333333333335,1.0,-1.0,-1,0.29032258064516125,0.0,0.0,0.0,-0.1636363636363637,-0.33333333333333326,-0.33333333333333326,0,0.0,-1.0,-1.0,-0.21739130434782616,1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.9923442964527049,-0.992853419977658,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
890,1,1,-1.0,1.0,-1.0,-1,0.4285714285714285,-1.0,1.0000000000000002,1.0,0.4285714285714285,-1.0,-1.0,1.0,-0.33333333333333326,1.0,0.09090909090909105,-1,-0.935483870967742,0.0,0.9999999999999998,-0.5,0.49090909090909074,-0.9999999999999999,-0.9999999999999999,-1,-1.0,0.09090909090909105,-1.0,0.42028985507246364,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.39189390286098436,0.21546457037014854,-0.5036189419738933,0.24029300463184566,-0.4761434250175177,-1.0,-0.75,-0.3514167554049864,-1.0
1103,-1,1,0.0,1.0,-1.0,-1,0.9999999999999999,-1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,-1.0,1.0,0.3333333333333335,1.0,0.2727272727272727,-1,-0.29032258064516125,0.0,0.9999999999999998,0.0,-0.054545454545454564,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-0.09090909090909083,-1.0,0.36231884057971,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.7608734401704121,-0.5220408697185661,-0.8660776074854457,-0.6586445448078593,-0.8586647803703451,-1.0,-0.75,-0.8214958660076084,-1.0
1812,1,1,-1.0,1.0,-1.0,-1,-1.0,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-0.33333333333333326,1.0,0.4545454545454546,-1,0.29032258064516125,0.0,0.9999999999999998,-0.5,0.3090909090909091,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-0.2727272727272727,-1.0,0.681159420289855,1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.79987959786305,-1.0,-0.7888026008395637,-0.7874636486048217,-0.75,-1.0,-1.0
1001,-1,1,-1.0,-1.0,-1.0,-1,0.4285714285714285,-1.0,1.0000000000000002,-1.0,0.4285714285714285,1.0,-1.0,1.0,-0.33333333333333326,1.0,0.4545454545454546,-1,0.41935483870967727,0.0,-0.33333333333333326,-0.5,0.709090909090909,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-0.2727272727272727,-1.0,-0.39130434782608714,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.7318665187490446,-0.4640626888564121,-0.7700205974975234,-0.42137491764585944,-0.7572908551535803,-1.0,-0.75,-0.6974210675091972,-1.0
634,1,1,-1.0,-1.0,1.0,-1,-0.1428571428571429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.33333333333333326,1.0,-1.0,-1,0.35483870967741926,0.0,0.0,-0.5,-0.2727272727272728,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-1.0,-1.0,-0.1304347826086958,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.7484458044331669,-0.49720087715292893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1119,-1,1,-1.0,1.0,-1.0,-1,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,1.0,-1.0,-1,-0.935483870967742,-1.0,0.9999999999999998,-1.0,0.2727272727272727,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-1.0,-1.0,0.4782608695652173,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8403892113439095,-0.680974652987277,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1382,-1,1,1.0,-1.0,-1.0,-1,0.4285714285714285,-1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,1.0,-0.19999999999999996,1.0,1.0,0.4545454545454546,-1,-0.935483870967742,1.0,-1.0,0.5,0.19999999999999996,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-0.2727272727272727,-1.0,-0.8550724637681161,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.3287597923529064,0.3416551724138295,-0.5784619480584519,0.06091824951191427,-0.555129115939595,-1.0,-0.75,-0.4452167367316845,-1.0
268,1,-1,-1.0,1.0,-1.0,1,-0.1428571428571429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,1.0,-1.0,-1,-0.3548387096774195,-1.0,0.9999999999999998,-1.0,-0.09090909090909094,-0.33333333333333326,-0.33333333333333326,0,0.0,-1.0,-1.0,0.5362318840579707,1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.9886322855852722,-0.989388267161382,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3114,1,1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0000000000000002,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,-0.33333333333333326,1.0,-0.09090909090909083,-1,-0.935483870967742,0.0,0.6666666666666667,-0.5,0.49090909090909074,-0.9999999999999999,-0.9999999999999999,-1,-1.0,0.2727272727272727,1.0,0.30434782608695654,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8213543798727532,-1.0,-0.8114660477423834,-0.8127635702500398,-0.75,-1.0,-1.0
