,UMAP_1,UMAP_2
708,12.551338,2.0610228
949,-4.4711733,6.993121
3217,15.699367,-3.5923285
522,-5.140391,7.022258
842,11.449509,7.829929
2139,-0.22585115,13.40763
1132,13.116606,-3.8620732
95,15.603987,-4.0539756
1343,-5.4271803,5.2303724
2800,15.174108,-4.4874206
2168,-6.7095327,6.4313307
1322,15.050469,-3.922931
473,-5.400639,7.565102
1447,12.114259,11.122122
1604,12.14495,2.4546063
1336,10.157562,8.01013
642,13.614046,13.999885
2712,-5.4631004,3.9031801
1726,14.03958,14.79356
1451,-0.94387203,12.265449
340,-5.8809233,4.5082808
220,9.816933,7.6330595
1232,11.899564,10.276911
164,-0.4337076,11.697252
499,-4.4929714,7.8277774
1256,15.111344,-4.889574
2059,-5.8226185,5.5222588
1742,13.676336,13.611771
1111,-4.2390656,5.36044
1073,8.170019,-3.5859997
1511,11.988529,2.43803
1463,8.6389475,5.3365993
2598,15.246935,-4.433786
16,-5.2646813,4.2066503
1870,14.201265,14.8374195
593,-4.347675,5.143076
489,-4.4593287,7.1352925
1690,8.600176,-3.9990695
1345,-6.9192834,6.4514647
808,14.736888,-4.552564
2044,-6.598826,5.5772667
1105,9.788332,5.275173
2257,0.32025677,12.099276
1300,8.730469,4.4845757
1411,12.578741,2.3177898
1510,11.844468,10.461614
1651,14.015306,14.660242
506,-4.464404,7.67457
2131,-0.6204496,12.976265
545,-5.2657933,7.5158153
1655,8.878184,-4.2583537
555,9.898676,5.725894
160,8.022919,-3.9659448
1595,8.775553,-3.576049
634,9.78995,5.1182637
2220,8.586433,-4.0863028
2927,-4.077757,4.791664
1970,-5.4787803,5.4981294
613,14.899004,-3.832001
293,-5.4738703,5.4464655
1476,-5.296131,7.5072937
1275,9.739973,7.5739055
1364,12.598433,2.062071
883,14.73505,-3.7463896
263,-5.0126038,7.1853414
1677,8.779353,-3.6019063
1570,11.907581,10.378374
835,8.114519,3.0979774
1453,-6.9978414,6.4744287
1334,9.714209,5.573193
1955,-5.808913,3.9177914
3088,12.026225,2.352721
1214,7.8464527,-3.7876246
1649,14.44097,14.087121
2479,8.643564,-3.7452044
1940,8.793426,-4.299367
361,8.163451,-4.3937445
1299,12.620303,2.0239737
423,-4.1094337,7.8522515
1912,13.871224,13.587533
2332,15.2532,-3.5209053
1146,13.930535,14.527715
396,-5.3728347,7.5471354
1096,14.782377,-3.6611698
1077,-4.2110467,7.602453
1544,-6.731902,5.4856296
874,-0.5637983,12.013335
1803,-4.114585,4.896636
2281,-0.07829017,13.129897
1355,10.084558,7.9416924
1271,0.025878694,12.251299
1902,-4.014265,4.810157
663,9.766231,5.288764
1056,14.3055105,13.963132
2068,9.763883,5.1551633
2170,15.28475,-4.541195
3158,-5.359481,3.919361
2753,-6.9255958,5.3750234
3285,8.776614,-3.6272213
2444,-5.5292435,5.3551927
252,-3.9881787,4.999178
1592,14.880547,-3.451541
1793,11.893704,10.7462015
878,8.074343,3.1362581
661,12.527179,2.670013
2590,8.586444,-3.7006378
984,12.086586,11.09626
595,7.7099414,2.799232
1979,8.602928,-4.5959606
2695,-5.3147097,3.8126726
968,14.089874,13.784446
2167,-1.1062719,12.437801
3166,8.625884,-3.668759
1039,9.967305,7.845457
1242,8.631309,5.309679
1901,15.174946,-4.483539
964,-4.20704,5.3354855
2326,-1.0566025,12.802643
2345,-5.3164744,4.142055
2503,-0.6325494,13.207734
2041,-5.501848,5.3453054
2961,-6.0032887,4.51111
1194,8.455873,4.9629993
1667,15.7359295,-3.6344032
682,14.369098,13.977965
1069,7.694675,2.767349
1314,15.556833,-4.0709605
192,-0.5625814,12.025876
1062,8.597595,5.2780366
1239,7.7551303,2.8364255
270,-4.22958,7.6115417
266,-5.913365,5.369769
1182,8.209581,-4.4763455
518,-4.479629,7.829451
658,13.860481,14.361838
2910,-5.639937,5.547846
1963,-6.522002,6.2490263
2239,-0.9855029,12.340722
803,7.8975444,3.063995
1658,13.060458,-3.5097394
1005,15.494596,-4.195903
106,-3.9891977,4.888912
2138,-0.4698772,12.631947
1089,9.938742,7.828231
246,12.184456,1.9971124
1663,8.610179,-3.522875
2286,-1.1046609,12.445421
2520,-0.5798023,13.171538
982,11.366579,8.074157
1406,11.214485,7.805584
706,10.015965,7.8972616
2896,-6.177459,4.1518426
2404,-1.0892391,12.776844
1659,12.213177,2.5582292
2940,-7.032291,6.4544907
1910,15.170535,-3.4277792
1850,-6.089744,4.1603155
1037,8.606224,5.291479
1927,11.877243,10.565641
1178,11.10402,7.699369
3086,13.059856,-3.373427
789,11.031648,7.6547747
2703,-6.631727,6.338237
350,-4.191109,6.8183937
349,-5.364676,7.497414
3291,15.093851,-3.4051805
291,-4.4549866,7.6927285
1390,11.114139,7.6870136
814,11.279097,7.943819
3309,12.227669,2.3725297
402,-4.123271,6.9222703
284,-4.3907013,7.797421
454,-5.8161826,5.4345856
1838,13.97975,14.627051
1269,-3.9988632,4.9967856
915,13.475115,13.898327
821,-4.472521,6.9609923
746,9.696624,5.686685
538,-5.415615,7.542557
1596,15.130575,-4.3236957
3128,15.228347,-3.3708296
1709,12.355004,2.6162927
1165,13.624101,14.139968
2096,13.731157,14.264376
948,11.947849,10.284018
1641,14.882895,-4.2645907
304,-4.359129,7.4441557
269,-5.0165544,7.153807
2769,-5.9468307,4.4810553
1450,8.007367,-3.6697593
1895,14.996628,-4.3234096
514,-5.3107567,7.459233
935,14.297454,13.890595
2887,-6.0872064,4.1317434
1352,13.833334,14.32968
1154,8.047257,-3.8357756
1565,15.678585,-3.6309888
2288,-0.9923317,12.533948
3248,12.229713,2.575715
2017,14.205279,14.862011
853,8.723245,4.486632
975,9.771701,5.122208
2255,-7.1281753,6.4107957
1715,15.64383,-3.4808035
111,11.132995,7.711068
217,15.6170025,-4.031519
3305,8.664598,-3.6191099
3228,14.904868,-3.4907017
611,15.293781,-4.80957
1615,11.819711,10.599168
1633,14.093407,14.891101
1753,12.399053,2.8837984
2132,-0.41854417,12.711069
3093,11.968346,2.903668
70,15.018536,-4.9900427
2475,-0.18874106,13.328788
2929,-5.356945,3.8112488
1112,9.103498,4.9049945
2247,0.26767397,12.229203
687,11.282956,7.8743863
2895,-6.5314674,6.2430234
1859,13.679877,13.513611
1881,8.566525,-4.521803
1605,8.755582,-4.3671975
395,-5.3545756,7.5406384
1552,9.061593,-3.8218935
1782,11.969788,10.938876
1307,12.531895,2.586447
604,8.431041,4.759013
3180,12.367517,2.930551
1347,12.551937,2.227902
2529,-0.69129056,13.151785
1656,13.995694,14.625514
2922,-7.0666547,6.4924746
1046,7.9153647,3.0857143
1168,9.98264,8.03705
3077,14.839943,-3.5011923
1120,11.377072,7.9741707
668,-3.895347,4.999734
2291,0.05283229,12.127908
781,9.615714,5.75169
183,7.82675,2.8129456
1508,15.716876,-3.6144114
1419,13.845395,14.232322
375,-5.497859,5.355724
2416,-0.9957626,12.538904
1860,-6.075279,4.0993786
2967,12.978724,-3.316297
736,7.947438,3.2272027
1941,12.288443,2.930045
2410,-0.10586645,13.185221
641,12.298008,1.9929957
1229,15.184855,-4.824032
467,-4.6715317,6.833367
1424,11.379744,8.125447
819,7.809748,2.941632
2074,7.800244,2.9101114
1847,13.788979,13.50407
1923,13.162465,-3.7281823
2185,8.562999,-3.6850026
30,-0.2669163,11.873537
276,-4.3692994,7.4729156
748,-5.9701653,4.6045237
2277,0.11026149,12.42244
1047,7.7778974,2.824787
476,11.914922,2.8217955
2064,-5.260223,4.049985
2963,-5.9160776,5.530722
2218,15.682812,-3.4959702
1188,-5.2850585,7.628329
1695,-4.106808,4.8347635
1894,8.602315,-3.4535618
1617,8.6207075,-3.7901533
637,9.817784,7.645258
1664,8.950385,-3.9916239
2325,-0.47853807,12.483135
1224,14.5246315,-4.4289637
34,15.159994,-4.9119625
1249,9.757075,5.116848
1012,13.148814,-3.9138393
891,13.095161,-3.7843647
2091,14.764199,-3.8569202
1772,14.447689,14.17107
400,-4.623736,7.724811
2701,-6.8406687,5.467061
1135,15.064151,-4.9051566
197,8.262146,-4.1527095
1372,13.198885,-3.956592
152,15.642939,-3.8899386
1778,9.05349,-3.9030797
2982,-5.7817454,5.416638
2186,14.676096,-4.04507
295,-4.5483437,7.824172
973,10.002906,7.9064445
666,9.825469,5.4003873
581,11.390946,8.008183
301,-6.038664,4.2411833
557,12.479882,2.4530673
2114,8.698118,-4.5343304
2935,13.62677,13.345643
2408,0.2699409,12.098054
633,8.571322,5.0021486
1216,13.752868,14.2650175
169,-0.37363762,12.530055
2923,-5.4164386,5.5334606
1479,-5.0828905,7.1192007
215,9.88072,5.5074244
543,-5.3806157,5.388403
1221,8.959523,4.913284
1498,13.123647,-3.4057302
315,-6.8284082,5.305476
2853,-5.9567404,4.467804
1871,12.046194,10.892748
2801,-6.7325516,6.404384
2031,-6.6092243,5.6503983
1244,9.793491,5.66762
1990,-5.4181085,5.5108776
1021,12.14744,2.6503398
1631,-4.4254923,5.224418
2785,-6.8361545,6.523957
141,9.901825,7.715471
1332,9.840811,7.6685677
1306,11.090689,7.707919
761,11.8449545,10.482178
2026,-5.39383,5.4530535
292,-5.281554,4.0861216
885,14.211703,13.870762
1497,12.307422,2.9519238
371,-5.87156,4.8238435
759,11.85978,10.568306
1960,-6.4835734,6.2561665
1159,13.092553,-3.8391535
2140,-5.630337,5.4484468
3120,14.282947,14.841721
3279,11.954823,10.885122
2229,8.520172,-4.4649634
1121,-4.601394,7.293972
2926,-5.3778205,3.7771766
389,14.416466,14.097944
530,-4.3556967,7.7578735
3013,-6.7708373,5.5327635
1050,11.059918,7.7576776
2083,8.290488,-4.1099315
3184,11.9596195,2.3996294
207,-0.50438184,11.876724
1443,13.365681,13.781861
892,8.0057745,-3.7283628
596,13.397427,-4.0588136
125,-3.983494,5.120671
2370,0.14663488,12.101555
1357,7.9374213,-4.0347853
2197,14.188471,14.804304
2035,11.954433,2.9038966
1389,13.890989,14.325234
737,-4.4070196,7.8238206
172,12.1740885,10.84068
851,14.777797,-3.7137728
1515,13.080185,-3.5370276
1607,8.694272,-3.4112406
3181,11.968894,10.3881035
1287,8.02874,-4.1203456
3111,8.679678,-4.555853
1921,8.801954,-4.2889304
2986,11.950177,2.8932884
2105,-0.9672187,12.465035
1015,12.477267,2.0980084
699,-4.2505965,5.2833357
334,-4.1670475,6.845763
482,-5.2805047,7.625433
1009,8.499272,4.9678555
2052,-7.0495453,6.448233
1075,8.539911,4.946886
1456,7.9870777,3.2183845
1730,14.167642,14.710035
602,12.5117035,2.7237105
2190,12.203182,2.4049053
412,-4.298503,7.520669
1875,12.213613,2.3729284
2379,-1.0628738,12.7000265
1546,12.099286,10.932508
511,-4.6441393,6.8948984
553,14.835471,-4.7486453
1543,-0.9620907,12.455603
755,8.144736,3.1501179
2542,8.583893,-3.7472794
1246,-4.234139,7.497302
1907,13.054658,-3.3687098
2775,-7.1330442,6.429776
3277,-5.347263,3.734471
1283,11.37239,8.045791
3255,13.06363,-3.4077497
2790,-5.700838,5.5761805
3124,-6.8707995,5.4419837
184,-4.016384,5.0639796
2535,-0.63825536,13.207317
2145,8.504437,-4.1871076
556,11.062111,7.7675834
408,14.06275,14.340458
1603,-5.9696155,4.451945
1755,-6.010709,4.464132
1681,15.616193,-3.5017602
2219,-0.25761858,13.331331
2266,-1.0076667,12.587164
1022,9.861637,7.6935315
861,8.5167055,5.141949
619,8.511187,5.021275
1914,14.199033,14.802552
2888,-6.63784,5.6830354
1408,9.81778,7.6417003
274,9.806831,5.0360327
2890,12.069023,11.068133
1272,12.568588,2.752785
2230,-0.2894047,13.343135
