,UMAP_1,UMAP_2
1252,10.790968,1.1420023
1399,11.548609,-0.35420707
160,10.82581,2.8171053
2823,13.750355,0.51321375
326,8.9714,0.75655425
762,12.8309965,-0.17905298
122,13.018815,-0.6710409
3232,11.317499,-1.7239807
1096,11.114442,1.8521419
1579,13.435861,2.7441368
2031,9.428613,0.33678
296,9.287605,1.9141525
1534,10.16749,-0.4281578
1069,11.154988,3.4553998
2079,12.659913,2.8861387
2537,11.0238905,3.5469968
1663,12.856172,3.0569336
1350,11.525457,1.3458275
1313,12.818993,-0.56815696
3018,13.114303,1.823827
574,13.480785,-0.13078031
1254,12.253147,-0.65297145
663,10.56008,1.6437987
847,12.466374,0.21924083
1117,13.152294,-0.12966578
1893,10.648854,2.3410826
2930,10.207748,-0.8164926
1014,13.165003,0.10443325
3238,11.146457,-1.3494518
1182,11.587025,-1.8704801
244,11.371904,0.9377954
1910,10.987324,0.47347406
1609,11.586956,1.4700334
958,12.277441,1.5289689
1786,10.6727495,1.248654
2264,12.342222,2.7000704
2044,9.401106,0.5022148
1298,13.10445,-0.0070990543
548,9.3462925,0.55048364
1565,13.818819,0.24132405
3240,11.923111,2.958599
1762,11.734546,2.6656065
2343,11.444033,-1.3501476
54,12.688082,1.7458651
898,11.686856,2.9732761
233,12.036898,-0.86922234
2848,10.892193,-0.3212942
211,12.397725,0.016141115
1695,13.666383,2.0499837
309,9.728716,1.1097962
48,12.331449,-0.49443796
2807,9.314251,0.5562909
1622,12.326832,1.8418494
2693,9.144677,1.8478774
1053,10.832551,-1.3512784
2424,11.164072,1.4780408
690,10.694374,2.707389
1552,11.111017,2.763099
839,11.492314,-1.134295
192,9.15916,2.5726326
2017,11.468311,-0.796701
1275,13.2689705,0.04379197
1022,13.227699,-0.78976214
573,10.747838,0.67349523
1305,13.774173,-0.12535158
237,10.252193,1.3400257
444,10.431653,1.563386
1610,13.292037,2.8270392
2771,9.357018,0.66169584
472,11.039036,3.194922
1198,12.321509,2.0635822
1356,9.797335,-0.29785457
890,10.467871,2.668459
1103,10.259895,2.3675368
1812,12.327539,2.5584629
1119,11.369284,3.1848292
3114,13.259964,2.7966783
726,10.256184,0.33508027
1763,11.042951,-0.8774827
1023,10.337653,1.5842422
974,12.125434,-0.9941037
334,8.819315,2.2675602
1710,13.583122,0.34606296
1860,9.747536,2.163965
656,12.293454,0.20397544
2371,10.6853,-0.86744636
642,12.967123,2.0058713
1627,11.275017,2.0259535
449,11.237411,3.4937475
1422,10.382905,2.2655869
2071,11.672247,-1.3814013
885,12.012114,1.1293243
1328,13.145309,1.5729796
302,11.906205,0.08451421
749,11.980004,-1.7247931
2000,9.839649,0.2548406
532,9.549863,-0.44601697
588,10.7347145,2.180994
2003,10.6247015,-0.8033942
1793,11.188453,1.8767997
2064,12.344939,2.4224782
2090,11.747616,2.1857636
1474,11.0949545,2.1492052
348,11.234655,-1.7522908
1056,13.403459,0.14543617
1075,12.024783,2.441494
2903,9.556654,0.100341596
1357,12.115091,2.7297482
321,8.882396,1.7101685
696,11.738842,3.0425696
3265,11.25814,1.7798582
1419,13.806009,-0.13399123
1267,12.873087,-1.1633363
168,12.798499,1.8328447
1985,9.536804,0.5540123
1098,8.93237,2.1954954
1826,13.471059,2.0579355
34,13.780073,0.10530855
2871,8.956245,0.98456156
2243,11.594237,0.22569573
659,11.046679,2.7236385
1520,13.74985,2.126
2830,10.001128,-0.2881779
680,11.460384,0.819186
2341,11.826045,1.649042
415,9.193526,0.6958845
1413,13.216958,-0.25738102
1216,10.332773,0.42125612
169,9.400116,2.483721
1091,10.694597,2.013479
3214,11.678523,-1.3354748
1143,13.21194,-0.8498864
2800,11.394356,-1.4233378
66,11.986503,-0.5727032
327,8.828893,2.0417786
1371,10.64808,0.54311436
1705,11.26928,-0.924796
1342,10.81076,2.8632932
1153,11.610744,-0.32675412
1494,10.793761,0.9911208
1104,12.288603,-0.65791136
274,11.517613,2.3784022
1314,13.557089,-0.2749107
968,10.407464,2.1969795
2703,10.944082,0.7847989
830,10.398169,2.4562256
1530,11.004738,1.4921275
1379,9.717214,-0.3105376
3086,13.186626,2.8476114
626,11.7063265,-1.8264551
447,9.551295,1.0091262
1134,12.692647,2.561576
1569,10.906643,-0.6541648
1485,10.592726,2.015924
1167,12.863413,2.7557914
939,13.3857765,-0.45469964
878,12.554678,2.2970464
1881,11.357069,-1.653948
1203,12.192141,1.5852437
917,12.452534,2.1180668
2317,11.150528,-1.023443
1081,12.598608,-0.84821284
702,11.740298,2.0887196
1509,10.000574,0.80774283
1635,12.640945,-0.49454343
553,10.817913,0.88756746
920,12.590318,1.8560455
1887,10.6257,0.8198767
1835,13.564604,2.657437
1990,8.895316,1.5319211
816,12.328643,1.2388654
1250,11.179631,-0.69309187
782,13.40891,2.2940319
176,9.688277,-0.55050415
215,11.367386,0.8799681
172,13.5533695,1.923125
1280,10.828787,0.36072657
1702,11.136261,-1.2271513
371,8.734569,1.8708336
2777,9.161212,1.8332759
955,13.273264,2.3409092
187,12.41575,-1.2346069
1115,13.059969,2.647176
124,8.983156,2.3178086
888,10.8292465,2.7412515
1953,9.4520235,2.184238
1428,11.985191,2.3041553
581,12.753855,-0.793863
1064,11.511527,1.9917034
2351,12.163367,-0.20893556
1834,11.69144,-0.23549911
81,11.899021,1.0825554
455,10.081287,-0.66933125
3279,13.331463,2.0650084
1256,13.770492,0.11267683
264,12.700058,-1.3168244
2479,10.315893,0.8866989
1149,13.141192,2.22321
1169,11.720859,1.167197
1967,9.181584,1.9413521
2813,9.243205,1.0820243
3095,13.165623,2.0059955
2455,9.5873375,-0.36694896
1722,12.146839,1.1458415
119,13.444926,0.24660182
3288,11.971531,-1.1235842
3104,10.845798,2.1641598
2954,8.809604,1.896555
1956,10.775446,-1.5084914
1922,10.479096,2.3216436
1262,11.514472,-1.0539618
2070,10.423802,0.8323677
1642,11.042743,-1.4339366
