,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10
2780,0.5084076866066713,0.9011382347106929,3.0806946734341163,-1.2791593028552428,0.31381040868721527,1.326131839637525,-0.85413837726441,-0.9049033015558461,0.694279857319954,-0.1485126500768661
210,2.919510333241404,-0.18339230949222052,-0.20077020872040074,3.1684638195989563,0.2307577868086808,-0.257983719040699,-0.6914015036442435,-0.6058725616906641,-1.1157374736110839,-1.2559029086989737
3218,-0.2561081251588675,1.1887323643986545,-1.683412392961918,-0.3154888310874951,-1.6749671242303283,-0.8361313145590359,1.4923390501364342,-0.05681259655136088,0.6003391433835567,-0.10533004968353103
1348,-0.938736744549591,-2.074163777077249,0.551109430823771,2.0299867960631013,-1.0290292071945064,-0.5515079472777731,-0.42615393533300727,-0.7753707766393827,-1.6464929870177216,-0.5938068216550778
1124,-1.016777929955108,-2.021805350401237,0.6592322769010924,1.8356664851742814,-0.1442880199589255,-0.6492555130952287,1.1008764999113654,-0.43390357753073144,0.0001954217978726946,0.19590059451955263
2419,2.245952902553051,2.3076885378616434,0.5160017643242613,1.7548322513439878,0.4159137433963664,-0.6735788214216611,1.0044813088322884,-0.3256531764733521,0.5532977971411527,0.029220116721935904
1175,0.12791317730476265,-1.8042956142385729,-2.9657011925519874,0.07848261332713886,-0.006963685894122352,1.3027169392189653,-0.0939275393369635,-0.0574551313623103,0.03119437326338809,1.3270880857057878
1692,-1.8656536861072934,0.31210156356122226,1.1122250405725642,0.01221483816181542,0.43625719230838855,-0.9947666212556913,-0.22156871357753352,-0.5280615856026422,-0.6895800165242238,0.3529845225525291
1020,-0.590202494403394,-0.018428696565111428,-1.6414304812642302,-0.14234599228737332,-0.6499350929020272,-1.1757966700993998,-0.27585982256981384,1.3133116327153405,0.8231679432077493,1.0994073616499904
1238,-2.1955822842781423,-0.08161630950421234,0.991210821907441,0.1752853067435098,0.44497536003030397,1.2896034833894476,-0.9415345145983404,-0.7757014035856434,0.7957899853216452,-0.31979659716963965
833,-0.5299986826774115,-1.9854234436961202,-1.8959913526358367,0.24991725325115313,-0.021325117988122113,1.465753572376733,-1.17010204381974,-0.9781725473189254,0.9527403910636597,-0.38487471827438835
642,-1.3128247542860114,-0.11531296184774913,-0.0917707359747804,0.4257149875019625,-0.9432410287772236,-0.576523095859543,1.6542806555034792,0.4659826487436907,1.2470672296947514,-0.9852167986311287
1323,-0.3055043008015945,-1.8335614294894362,-1.8261374652236118,0.35658854739231244,-0.014275295600817601,-0.4894217966795972,-0.8948566875123585,-1.5312691205392406,0.8740323158456421,-0.3607386772531622
353,1.6943085544215861,-0.4246796544208212,0.29481995084328183,-1.953540975189165,-0.9234762287538829,0.7335324826368961,-0.8877047403627475,1.8815499634281314,0.7224182538533727,0.0038290031731056766
2418,1.9599876425353824,2.56948472026045,1.860205212451911,2.6791696249316654,1.3156536030590305,-0.6406967345432601,0.988268201073489,-0.17353984968532293,0.43509041997064374,-0.20283464072719448
2283,2.71567361695454,2.758953732579914,-0.8474495371807023,1.8113648703747878,-0.5555333285620129,1.504517882962966,-0.289873349730996,-0.16405002596944854,-0.9485246785163458,0.3733487303044456
1247,-1.4759017014032187,-0.17751396224150925,1.0189664511424228,1.0255413090429866,0.342938756428881,-1.1718036353043348,-0.7147748642229926,1.6880293157248607,0.6461897689062215,-0.6790830120456329
797,-0.6347727731919165,-2.309417539699709,-1.6728856997885453,0.21953951038456523,1.7013430493522463,-0.6681402185188661,0.6625917135742557,-0.4380833265999173,-0.7717219998140924,0.907416934314948
1600,-0.8548308158242172,0.8115720195800988,-1.6584284117858115,-1.4814787098116329,0.8027810195116418,-1.0604650591725944,0.48199887909863626,-0.24652536821786292,-0.9279625410140422,-0.20342437333987073
1000,-1.2960299136251086,-0.020769951969789043,-0.3572992082706498,0.06390261853646148,-0.35248048809401444,-1.224337733493941,-0.5426545594103566,1.7310238282045503,0.8593086119822791,-0.5995998405448407
1894,-0.5807615805850675,1.2199101930669174,-1.4671305739708678,-1.3841415163462722,0.8818234745037229,-1.1238648565774558,0.4177017608547656,-0.2766273182534748,-0.8410248000520477,-0.08175078386586009
2021,1.5880549245134754,0.49429256143866895,0.03834500648653486,-3.1169157083550867,0.6072158036180947,-0.9321246557989996,0.6263710990578246,-0.19956111404627036,-0.6909482047262012,-0.23739651211221177
1779,-1.7099729971014745,0.5388889820340712,1.0445214317228635,0.23347889511746375,-0.29856709368533474,0.34868384417512244,-1.286807592612365,1.310338442530433,-0.5304243966109417,1.0094187548749245
