,W3IWER4_A
210,0
642,0
1323,0
1247,0
1000,1
1017,1
932,1
968,1
3234,0
1764,1
2902,0
891,1
1635,0
508,1
1973,0
1753,1
3168,1
2050,0
46,0
1040,0
586,1
1768,0
81,1
1896,1
1379,0
516,0
1552,1
1190,0
391,1
2070,1
1969,1
892,1
2718,0
146,0
2813,0
829,0
1691,1
943,1
2878,0
2061,0
124,1
94,0
1672,0
2243,1
3095,0
274,0
2753,0
42,0
958,0
565,1
531,0
3086,1
947,0
415,0
1262,0
1037,0
1849,1
2472,0
928,0
875,0
1520,0
1411,1
626,1
779,0
2177,0
1112,0
1994,0
1182,1
1035,1
658,1
390,0
2387,1
1903,0
1386,0
1428,0
326,0
2988,0
1985,0
1834,0
2234,1
631,0
1447,0
2095,0
1509,1
1772,1
1785,1
681,0
998,0
270,0
304,0
1395,0
941,1
1840,0
1165,1
3224,1
1095,0
1853,0
464,0
574,1
1119,0
1153,0
1216,0
1569,1
122,0
3150,0
2371,1
349,0
1169,0
733,0
288,1
496,0
311,1
3279,0
1425,1
796,0
1074,0
457,0
1510,0
347,0
3164,1
2769,1
1460,0
959,1
553,1
1167,0
908,0
1081,0
1731,0
1268,1
890,1
1313,0
2383,0
1708,1
1297,0
2049,1
668,0
3255,1
1886,0
264,0
1039,0
1609,0
685,0
2808,1
1581,0
2508,1
885,0
2031,0
702,0
1305,1
1014,1
392,0
2958,0
1634,0
1807,0
456,0
1142,0
888,1
953,0
2037,1
79,0
525,0
1533,0
2215,0
485,0
1314,1
755,0
663,0
532,0
2092,1
1705,1
1347,0
1384,0
2979,1
2072,1
455,0
1113,0
659,0
22,0
1082,0
1656,0
2435,0
839,0
3018,1
1627,0
1206,1
1628,0
2823,1
1771,0
1389,0
301,1
1097,0
1023,1
556,0
3239,1
792,0
498,1
1889,1
2077,0
917,1
2017,0
169,1
386,1
1027,0
1752,1
309,0
1350,0
611,1
1704,1
1763,0
2090,0
1702,1
448,1
472,0
45,0
3237,1
682,0
517,0
984,0
1534,1
1356,0
133,1
632,1
2501,0
