,UMAP_1,UMAP_2
2027,13.799853,7.1012726
826,-2.2078266,1.7153772
1622,-1.06583,14.878557
113,9.832759,6.873948
708,4.8420854,13.0124
949,11.358192,3.531039
3217,-2.447513,9.781463
522,12.232908,4.1920652
842,-4.278918,0.011890041
2139,8.509423,6.4395046
1132,-1.9599904,14.136183
95,-2.7042067,9.938811
1343,13.238333,7.4828277
2800,-2.6343424,14.890375
2168,13.967015,3.8452466
1322,-3.2468953,10.887701
473,12.600948,3.6640182
1447,-7.5688133,0.71224034
1604,5.054052,13.264331
1336,-2.2452571,0.023338316
642,-1.3251507,-3.3733854
2712,15.113218,6.3813734
1726,-1.2002889,-3.5604656
1451,10.355028,6.402601
340,14.798774,7.270319
220,-2.614522,0.29469153
1232,-6.4556217,0.47334602
164,10.449697,5.071277
499,10.60229,4.617393
1256,-2.43353,15.365755
2059,13.778548,7.1006145
1742,-1.8203931,-3.1733027
1111,12.127738,4.317573
1073,-2.1423736,12.015557
1511,4.2942023,13.629387
1463,-0.6558268,1.6983232
2598,-2.6096032,14.920963
16,14.678582,6.2301993
1870,-0.44209394,-4.3822875
593,13.326089,7.580033
489,11.117226,3.913342
1690,-1.673576,11.3785305
1345,13.672927,3.6879308
808,-1.0434073,14.834867
2044,13.727156,4.9812145
1105,-0.0483353,3.2238126
2257,9.63957,7.735349
1300,-1.8436631,1.939806
1411,5.0385733,13.094813
1510,-6.6517243,0.5305157
1651,-1.1364313,-3.6182303
506,10.747927,4.1202636
2131,9.780172,6.852089
545,12.663592,3.6362207
1655,-0.8548648,13.452429
555,-0.33882385,3.5549846
160,-0.76431423,13.676037
1595,-1.3830658,11.997131
634,-0.0036481565,3.031036
2220,-1.7239733,11.41955
2927,14.820075,7.504606
1970,13.250877,7.4517665
613,-3.5829792,11.300176
293,13.114277,7.301465
1476,12.471771,3.8588662
1275,-2.6257243,0.2698444
1364,4.8225026,12.984616
883,-3.6799297,11.477814
263,11.943993,3.7908468
1677,-1.3025503,12.029809
1570,-6.583905,0.48947233
835,-2.3483918,1.867584
1453,13.576692,3.7020874
1334,-0.32822895,3.782168
1955,15.323558,6.4248834
3088,4.2823787,13.63088
1214,-1.8703923,11.893447
1649,-3.3823235,-3.7591054
2479,-1.4071192,11.870361
1940,-0.9441467,13.401513
361,-1.7042505,13.694011
1299,4.771319,12.972937
423,10.219976,5.140607
1912,-2.156395,-3.1696556
2332,-3.0992725,10.853899
1146,-0.8363868,-4.1329336
396,12.664949,3.6738722
1096,-3.6532652,11.436204
1077,10.543394,3.989397
1544,13.947678,5.112267
874,9.971627,5.7857223
1803,14.861011,7.3615236
2281,8.610221,6.4333315
1355,-2.155427,0.13518976
1271,9.646322,7.4487514
1902,14.866835,7.4480915
663,-0.13038018,3.2708044
1056,-3.2419565,-3.6071544
2068,-4.014057e-06,3.089819
2170,-2.6997387,14.939187
3158,14.970136,6.1861277
2753,13.599636,4.832266
3285,-1.4046971,11.943689
2444,13.039848,7.2735033
252,13.941724,5.1520677
1592,-3.257653,11.275585
1793,-7.072122,0.6306201
878,-2.3688655,1.7830857
661,5.596157,13.264715
2590,-1.8017409,11.723329
984,-7.492128,0.6520459
595,-1.9436411,2.2470193
1979,-1.5760351,13.234277
2695,15.160726,6.2551146
968,-2.9464037,-3.4966044
2167,10.388043,6.4755826
3166,-2.0106506,11.738514
1039,-2.353793,0.02719668
1242,-0.69307506,1.680431
1901,-2.6818106,14.906393
964,12.514191,3.8722644
2326,10.100697,6.494829
2345,14.655222,6.2202425
2503,8.9827,6.5635047
2041,13.0520115,7.2341366
2961,14.716324,7.2714186
1194,-1.2843566,1.8395344
1667,-2.5415626,9.857793
682,-3.2639303,-3.6342194
1069,-2.189679,2.3841314
1314,-2.6782176,9.949796
192,9.678598,5.8647647
1062,-0.6562838,1.6454484
1239,-2.314568,2.4365475
270,10.682234,3.8748038
266,13.844623,7.032668
1182,-1.6592252,13.630198
518,10.740926,4.450755
658,-0.86464876,-4.103368
2910,13.697068,7.202254
1963,14.268831,4.0606995
2239,10.298244,6.5426273
803,-2.0844884,2.459073
1658,-1.0701374,14.215557
1005,-2.7934046,10.164342
106,14.798308,7.4539795
2138,9.457661,6.7534003
1089,-2.3615193,0.14619836
246,4.134457,13.429848
1663,-2.2474594,11.825227
2286,10.371694,6.4225755
2520,8.991492,6.4909472
982,-4.1691065,0.29330912
1406,-3.977184,-0.07903875
706,-2.2680326,0.07162881
2896,14.48127,6.6496453
2404,10.351379,6.4046164
1659,5.084743,13.294682
2940,13.796873,3.5181048
1910,-3.3131154,11.06804
1850,14.5885515,6.5205894
1037,-0.7368196,1.6894609
1927,-6.9717674,0.57790655
1178,-3.8361318,-0.09948164
3086,-2.6235,11.555278
789,-3.9152038,0.07386435
2703,14.237228,3.9711387
350,11.297557,3.862157
349,12.625759,3.6707695
3291,-3.3299692,11.125658
291,10.622134,4.1649675
1390,-3.7161956,-0.055703364
814,-3.9993148,0.096870705
3309,4.844621,13.051892
402,11.314995,3.913602
284,10.599123,4.2792835
454,13.572529,6.884149
1838,-1.1224014,-3.6393855
1269,11.319614,3.5139027
915,-1.5830806,-3.2223964
821,11.367452,3.5906036
746,-0.41409653,3.770755
538,12.688955,3.668641
1596,-2.6539054,14.882102
3128,-3.3382924,11.108256
1709,5.064274,13.334236
1165,-1.3059288,-3.444502
2096,-0.83810323,-4.077097
948,-6.53807,0.4476611
1641,-1.1267,14.8704
304,11.416688,4.211485
269,11.908749,3.8125243
2769,14.8448305,7.257402
1450,-2.1370685,12.016124
1895,-1.2142553,14.889441
514,12.445264,3.6923902
935,-3.2870793,-3.642066
2887,14.654783,6.7541757
1352,-0.92217165,-4.1165795
1154,-1.5029308,11.791986
1565,-2.5850391,9.807503
2288,10.162444,6.594405
3248,4.9841537,13.237825
2017,-0.56718343,-4.242896
853,-1.8416724,1.8787435
975,-0.017945373,3.1261568
2255,13.950597,3.6412027
1715,-2.4647975,9.857555
111,-3.8477547,-0.09161223
217,-2.7075086,9.87412
3305,-1.9861577,11.738205
3228,-3.277171,11.253515
611,-2.660677,15.007893
1615,-6.905251,0.58927613
1633,-0.47468483,-4.313326
1753,5.362812,13.650128
2132,9.449002,6.6821895
3093,4.6357784,13.973295
70,-2.3675656,15.270234
2475,8.533424,6.4908686
2929,15.38765,6.5470757
1112,-2.5619943,1.0840033
2247,9.65952,7.706221
687,-3.954003,-0.09920075
2895,14.231553,3.9826264
1859,-1.8549185,-3.098969
1881,-1.5217514,13.272748
1605,-0.93548656,13.443829
395,12.553917,3.761649
1552,-0.3290427,13.389483
1782,-7.321935,0.64019775
1307,5.5591874,13.3232975
604,-1.7900488,1.6400956
3180,5.4133997,13.646346
1347,5.1106935,13.199785
2529,9.119649,6.581695
1656,-1.1646122,-3.5981624
2922,13.903425,3.4804547
1046,-2.0514927,2.486578
1168,-2.3092406,-0.062194675
3077,-3.2421818,11.296871
1120,-4.2924643,-0.0228352
668,10.704825,3.84728
2291,9.654719,7.6554227
781,-0.41803747,3.7668405
183,-2.3535464,2.4374115
1508,-2.5402808,9.89198
1419,-0.82923985,-4.118466
375,12.982658,7.2611904
2416,10.231677,6.5998254
1860,14.318655,6.4215837
2967,-1.3915659,11.935735
736,-1.7182912,2.2788577
1941,5.3718443,13.631152
2410,8.480842,6.556928
641,4.179401,13.508944
1229,-2.3378668,15.254007
467,11.481112,3.5701709
