,Unnamed: 0,Data Type,Data Transformation,X_train Size,X_test Size,Classifiers,Training Accuracy,Accuracy,Weighted F1,Cohen Kappa,Data Augmentation Methods,GAN,seed
235,235,pca,oneW,"(1656, 10)","(226, 10)",MLP,0.808,0.5133,0.5148,-0.0833,smoteTomek,True,1
236,236,pca,oneW,"(1656, 10)","(226, 10)",logisticRegression,0.7337,0.4248,0.4122,-0.1168,smoteTomek,True,1
237,237,pca,oneW,"(1656, 10)","(226, 10)",decisionTree,0.9704,0.5398,0.5428,-0.0305,smoteTomek,True,1
238,238,pca,oneW,"(1656, 10)","(226, 10)",randomForest,0.9958,0.4867,0.4883,-0.1424,smoteTomek,True,1
239,239,pca,oneW,"(1656, 10)","(226, 10)",xgb,1.0,0.4823,0.4743,-0.1018,smoteTomek,True,1
240,240,umap,,"(2184, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smote,False,1
241,241,umap,,"(2184, 2)","(684, 2)",MLP,0.6964,0.6608,0.7577,-0.0374,smote,False,1
242,242,umap,,"(2184, 2)","(684, 2)",logisticRegression,0.6016,0.5292,0.5434,-0.1613,smote,False,1
243,243,umap,,"(2184, 2)","(684, 2)",decisionTree,0.8292,0.655,0.7153,0.0156,smote,False,1
244,244,umap,,"(2184, 2)","(684, 2)",randomForest,0.8654,0.6579,0.7322,-0.005,smote,False,1
245,245,umap,,"(2184, 2)","(684, 2)",xgb,0.8255,0.6798,0.7502,0.0579,smote,False,1
246,246,umap,,"(6552, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smote,True,1
247,247,umap,,"(6552, 2)","(684, 2)",MLP,0.8175,0.4459,0.4462,0.0345,smote,True,1
248,248,umap,,"(6552, 2)","(684, 2)",logisticRegression,0.7312,0.4079,0.3969,-0.0736,smote,True,1
249,249,umap,,"(6552, 2)","(684, 2)",decisionTree,0.9434,0.4737,0.4543,-0.088,smote,True,1
250,250,umap,,"(6552, 2)","(684, 2)",randomForest,0.9443,0.4298,0.4318,0.0113,smote,True,1
251,251,umap,,"(6552, 2)","(684, 2)",xgb,0.8919,0.4898,0.4735,0.0336,smote,True,1
252,252,umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,editNN,False,1
253,253,umap,,"(1044, 2)","(684, 2)",MLP,0.8429,0.3596,0.405,-0.0248,editNN,False,1
254,254,umap,,"(1044, 2)","(684, 2)",logisticRegression,0.7893,0.3012,0.3162,-0.1797,editNN,False,1
255,255,umap,,"(1044, 2)","(684, 2)",decisionTree,0.8831,0.3289,0.3488,-0.1211,editNN,False,1
256,256,umap,,"(1044, 2)","(684, 2)",randomForest,0.8966,0.3333,0.3741,-0.0765,editNN,False,1
257,257,umap,,"(1044, 2)","(684, 2)",xgb,0.8946,0.3567,0.3645,-0.1004,editNN,False,1
258,258,umap,,"(3132, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,editNN,True,1
259,259,umap,,"(3132, 2)","(684, 2)",MLP,0.9103,0.4766,0.4631,-0.1484,editNN,True,1
260,260,umap,,"(3132, 2)","(684, 2)",logisticRegression,0.7072,0.5614,0.5944,-0.1453,editNN,True,1
261,261,umap,,"(3132, 2)","(684, 2)",decisionTree,0.9595,0.674,0.7661,0.0046,editNN,True,1
